model,b_full,b_k1-3,b_gt3
ACCESS-CM2,0.1039,-0.0309,0.1348
ACCESS-ESM1-5,0.0515,-0.0441,0.0956
BCC-CSM2-MR,0.0813,-0.0445,0.1258
CMCC-CM2-HR4,0.0253,-0.0594,0.0847
CMCC-CM2-SR5,0.0672,-0.0315,0.0987
CNRM-CM6-1-HR,0.0442,-0.0213,0.0654
EC-Earth3,0.0549,-0.0256,0.0805
EC-Earth3-AerChem,0.0413,-0.0314,0.0727
EC-Earth3-CC,0.0025,-0.0309,0.0334
FGOALS-f3-L,0.0570,-0.0184,0.0755
GFDL-CM4,0.0332,-0.0556,0.0888
GFDL-ESM4,0.0581,-0.0438,0.1019
GISS-E2-1-G,0.0726,-0.0060,0.0785
HadGEM3-GC31-LL,0.0756,-0.0254,0.1010
HadGEM3-GC31-MM,0.0606,-0.0269,0.0875
KIOST-ESM,0.0843,-0.0090,0.0934
MIROC-ES2L,0.0901,-0.0062,0.0963
MIROC6,0.0455,-0.0168,0.0622
MPI-ESM-1-2-HAM,0.0858,-0.0182,0.1040
MPI-ESM1-2-HR,0.0844,-0.0329,0.1172
MPI-ESM1-2-LR,0.0549,-0.0263,0.0812
MRI-ESM2-0,0.0622,-0.0111,0.0734
NESM3,0.0625,-0.0400,0.1025
NorESM2-LM,0.0341,-0.0385,0.0726
NorESM2-MM,0.0485,-0.0541,0.1026
SAM0-UNICON,0.0582,-0.0237,0.0817
TaiESM1,0.0542,-0.0484,0.1025
UKESM1-0-LL,0.0970,-0.0359,0.1328
