model,b_full,b_k1-3,b_gt3
ACCESS-CM2,0.1488,-0.0233,0.1722
ACCESS-ESM1-5,0.0856,-0.0389,0.1245
BCC-CSM2-MR,0.1321,-0.0460,0.1781
CMCC-CM2-HR4,0.0597,-0.0592,0.1189
CMCC-CM2-SR5,0.1085,-0.0299,0.1384
CNRM-CM6-1-HR,0.0964,-0.0249,0.1213
EC-Earth3,0.1064,-0.0229,0.1293
EC-Earth3-AerChem,0.0877,-0.0279,0.1155
EC-Earth3-CC,0.0034,-0.0255,0.0289
FGOALS-f3-L,0.1009,-0.0203,0.1212
GFDL-CM4,0.0603,-0.0548,0.1150
GFDL-ESM4,0.1005,-0.0348,0.1354
GISS-E2-1-G,0.1132,-0.0084,0.1216
HadGEM3-GC31-LL,0.1108,-0.0152,0.1260
HadGEM3-GC31-MM,0.1177,-0.0315,0.1492
KIOST-ESM,0.1235,-0.0052,0.1288
MIROC-ES2L,0.1320,-0.0009,0.1329
MIROC6,0.1038,-0.0275,0.1313
MPI-ESM-1-2-HAM,0.1389,-0.0142,0.1531
MPI-ESM1-2-HR,0.1314,-0.0302,0.1616
MPI-ESM1-2-LR,0.0936,-0.0278,0.1214
MRI-ESM2-0,0.1149,-0.0151,0.1300
NESM3,0.0945,-0.0432,0.1377
NorESM2-LM,0.0553,-0.0350,0.0903
NorESM2-MM,0.0859,-0.0489,0.1348
SAM0-UNICON,0.1113,-0.0252,0.1366
TaiESM1,0.0943,-0.0446,0.1389
UKESM1-0-LL,0.1430,-0.0242,0.1672
