model,b_full,b_k1-3,b_gt3
ACCESS-CM2,0.0988,-0.0157,0.1145
ACCESS-ESM1-5,0.0576,-0.0266,0.0842
BCC-CSM2-MR,0.0887,-0.0301,0.1189
CMCC-CM2-HR4,0.0401,-0.0379,0.0780
CMCC-CM2-SR5,0.0430,-0.0253,0.0683
CNRM-CM6-1-HR,0.0442,-0.0251,0.0694
EC-Earth3,0.0413,-0.0197,0.0611
EC-Earth3-AerChem,0.0442,-0.0241,0.0683
EC-Earth3-CC,0.0010,-0.0141,0.0151
FGOALS-f3-L,0.0355,-0.0108,0.0463
GFDL-CM4,0.0322,-0.0144,0.0467
GFDL-ESM4,0.0325,-0.0482,0.0807
GISS-E2-1-G,0.0693,-0.0089,0.0781
HadGEM3-GC31-LL,0.0643,-0.0174,0.0817
HadGEM3-GC31-MM,0.0552,-0.0078,0.0631
KIOST-ESM,0.0747,-0.0152,0.0898
MIROC-ES2L,0.0840,0.0078,0.0762
MIROC6,0.0543,-0.0231,0.0774
MPI-ESM-1-2-HAM,0.0858,-0.0141,0.0999
MPI-ESM1-2-HR,0.0626,-0.0265,0.0891
MPI-ESM1-2-LR,0.0395,-0.0244,0.0638
MRI-ESM2-0,0.0664,-0.0126,0.0791
NESM3,0.0359,-0.0444,0.0803
NorESM2-LM,0.0272,-0.0156,0.0428
NorESM2-MM,0.0433,-0.0425,0.0858
SAM0-UNICON,0.0412,-0.0281,0.0693
TaiESM1,0.0802,-0.0390,0.1193
UKESM1-0-LL,0.0907,-0.0318,0.1225
