model,b_full,b_k1-3,b_gt3
ACCESS-CM2,0.1515,-0.0123,0.1637
ACCESS-ESM1-5,0.1080,-0.0201,0.1281
BCC-CSM2-MR,0.1480,-0.0288,0.1768
CMCC-CM2-HR4,0.0836,-0.0347,0.1183
CMCC-CM2-SR5,0.0870,-0.0228,0.1098
CNRM-CM6-1-HR,0.1018,-0.0327,0.1344
EC-Earth3,0.0943,-0.0228,0.1172
EC-Earth3-AerChem,0.0856,-0.0255,0.1110
EC-Earth3-CC,-0.0004,-0.0146,0.0142
FGOALS-f3-L,0.0788,-0.0153,0.0940
GFDL-CM4,0.0656,-0.0092,0.0748
GFDL-ESM4,0.0757,-0.0420,0.1176
GISS-E2-1-G,0.1044,-0.0116,0.1160
HadGEM3-GC31-LL,0.1221,-0.0094,0.1314
HadGEM3-GC31-MM,0.1244,-0.0061,0.1305
KIOST-ESM,0.1155,-0.0129,0.1284
MIROC-ES2L,0.1233,0.0182,0.1050
MIROC6,0.1167,-0.0328,0.1495
MPI-ESM-1-2-HAM,0.1382,-0.0025,0.1407
MPI-ESM1-2-HR,0.1097,-0.0227,0.1324
MPI-ESM1-2-LR,0.0829,-0.0275,0.1104
MRI-ESM2-0,0.1360,-0.0126,0.1486
NESM3,0.0879,-0.0431,0.1310
NorESM2-LM,0.0489,-0.0149,0.0638
NorESM2-MM,0.0798,-0.0436,0.1233
SAM0-UNICON,0.0942,-0.0302,0.1244
TaiESM1,0.1248,-0.0414,0.1662
UKESM1-0-LL,0.1388,-0.0213,0.1601
