model,b_full,b_k1-3,b_gt3
ACCESS-CM2,0.1441,-0.0294,0.1735
ACCESS-ESM1-5,0.0295,-0.0519,0.0814
BCC-CSM2-MR,0.0842,-0.0884,0.1726
CMCC-CM2-HR4,0.0278,-0.1113,0.1392
CMCC-CM2-SR5,0.0842,-0.0174,0.1016
CNRM-CM6-1-HR,0.0702,0.0036,0.0664
EC-Earth3,0.1057,-0.0174,0.1231
EC-Earth3-AerChem,0.0472,-0.0109,0.0581
EC-Earth3-CC,-0.0482,-0.0723,0.0240
FGOALS-f3-L,0.0805,-0.0332,0.1137
GFDL-CM4,0.0549,-0.0142,0.0690
GFDL-ESM4,-0.0347,-0.0693,0.0346
GISS-E2-1-G,0.0873,-0.0057,0.0930
HadGEM3-GC31-LL,0.0607,-0.0074,0.0680
HadGEM3-GC31-MM,0.0394,-0.0338,0.0733
KIOST-ESM,0.0884,-0.0270,0.1154
MIROC-ES2L,0.1253,-0.0021,0.1274
MIROC6,0.0503,-0.0059,0.0560
MPI-ESM-1-2-HAM,0.0640,-0.0095,0.0735
MPI-ESM1-2-HR,0.1010,-0.0710,0.1720
MPI-ESM1-2-LR,0.0890,-0.0427,0.1317
MRI-ESM2-0,-0.0298,-0.0273,-0.0030
NESM3,0.1497,-0.0054,0.1551
NorESM2-LM,0.0396,-0.0483,0.0879
NorESM2-MM,0.0372,-0.0848,0.1221
SAM0-UNICON,0.0582,-0.0315,0.0892
TaiESM1,0.0290,-0.0703,0.0993
UKESM1-0-LL,0.0784,-0.0125,0.0910
