model,b_full,b_k1-3,b_gt3
ACCESS-CM2,0.1548,-0.0221,0.1770
ACCESS-ESM1-5,0.0100,-0.0740,0.0840
BCC-CSM2-MR,0.1193,-0.1043,0.2235
CMCC-CM2-HR4,0.0727,-0.1086,0.1814
CMCC-CM2-SR5,0.1161,-0.0195,0.1356
CNRM-CM6-1-HR,0.1255,0.0053,0.1202
EC-Earth3,0.1485,-0.0161,0.1645
EC-Earth3-AerChem,0.0967,0.0049,0.0918
EC-Earth3-CC,-0.0400,-0.0625,0.0224
FGOALS-f3-L,0.1299,-0.0306,0.1605
GFDL-CM4,0.0761,-0.0147,0.0908
GFDL-ESM4,0.0239,-0.0638,0.0877
GISS-E2-1-G,0.1382,-0.0122,0.1504
HadGEM3-GC31-LL,0.0716,-0.0048,0.0765
HadGEM3-GC31-MM,0.0702,-0.0482,0.1184
KIOST-ESM,0.1349,-0.0223,0.1572
MIROC-ES2L,0.0900,-0.0087,0.0987
MIROC6,0.0990,-0.0083,0.1073
MPI-ESM-1-2-HAM,0.0621,-0.0214,0.0836
MPI-ESM1-2-HR,0.1151,-0.0787,0.1938
MPI-ESM1-2-LR,0.0543,-0.0580,0.1123
MRI-ESM2-0,0.0228,-0.0132,0.0360
NESM3,0.1712,-0.0056,0.1768
NorESM2-LM,0.0545,-0.0601,0.1146
NorESM2-MM,0.0636,-0.0713,0.1349
SAM0-UNICON,0.1323,-0.0103,0.1426
TaiESM1,0.0532,-0.0640,0.1173
UKESM1-0-LL,0.1539,0.0829,0.0710
