model,b_full,b_k1-3,b_gt3
ACCESS-CM2,0.1057,-0.0102,0.1158
ACCESS-ESM1-5,0.0661,-0.0301,0.0963
BCC-CSM2-MR,0.0984,-0.0244,0.1228
CMCC-CM2-HR4,0.0413,-0.0273,0.0686
CMCC-CM2-SR5,0.0626,-0.0209,0.0835
CNRM-CM6-1-HR,0.0521,-0.0231,0.0753
EC-Earth3,0.0550,-0.0273,0.0823
EC-Earth3-AerChem,0.0504,-0.0359,0.0863
EC-Earth3-CC,0.0174,-0.0055,0.0229
FGOALS-f3-L,0.0535,0.0021,0.0514
GFDL-CM4,0.0485,-0.0336,0.0821
GFDL-ESM4,0.0647,-0.0217,0.0864
GISS-E2-1-G,0.0755,-0.0053,0.0808
HadGEM3-GC31-LL,0.0884,-0.0185,0.1069
HadGEM3-GC31-MM,0.0693,-0.0101,0.0795
KIOST-ESM,0.0797,-0.0030,0.0827
MIROC-ES2L,0.0945,0.0008,0.0938
MIROC6,0.0558,-0.0133,0.0692
MPI-ESM-1-2-HAM,0.0841,0.0015,0.0826
MPI-ESM1-2-HR,0.0693,-0.0224,0.0917
MPI-ESM1-2-LR,0.0372,-0.0265,0.0636
MRI-ESM2-0,0.0806,-0.0057,0.0864
NESM3,0.0458,-0.0344,0.0802
NorESM2-LM,0.0519,-0.0204,0.0723
NorESM2-MM,0.0275,-0.0456,0.0731
SAM0-UNICON,0.0626,-0.0192,0.0818
TaiESM1,0.0664,-0.0344,0.1009
UKESM1-0-LL,0.1166,-0.0121,0.1287
