model,b_full,b_k1-3,b_gt3
ACCESS-CM2,0.1540,-0.0063,0.1603
ACCESS-ESM1-5,0.1157,-0.0216,0.1373
BCC-CSM2-MR,0.1511,-0.0237,0.1748
CMCC-CM2-HR4,0.0922,-0.0172,0.1094
CMCC-CM2-SR5,0.1125,-0.0146,0.1271
CNRM-CM6-1-HR,0.1068,-0.0251,0.1319
EC-Earth3,0.1121,-0.0266,0.1387
EC-Earth3-AerChem,0.0958,-0.0358,0.1316
EC-Earth3-CC,0.0126,-0.0024,0.0150
FGOALS-f3-L,0.0992,0.0024,0.0968
GFDL-CM4,0.0894,-0.0264,0.1158
GFDL-ESM4,0.1058,-0.0115,0.1173
GISS-E2-1-G,0.1148,-0.0055,0.1202
HadGEM3-GC31-LL,0.1450,-0.0076,0.1526
HadGEM3-GC31-MM,0.1394,-0.0125,0.1519
KIOST-ESM,0.1215,0.0006,0.1209
MIROC-ES2L,0.1348,0.0098,0.1249
MIROC6,0.1106,-0.0163,0.1269
MPI-ESM-1-2-HAM,0.1347,0.0125,0.1222
MPI-ESM1-2-HR,0.1207,-0.0141,0.1348
MPI-ESM1-2-LR,0.0887,-0.0231,0.1118
MRI-ESM2-0,0.1491,-0.0036,0.1527
NESM3,0.1029,-0.0298,0.1327
NorESM2-LM,0.0924,-0.0195,0.1119
NorESM2-MM,0.0700,-0.0408,0.1108
SAM0-UNICON,0.1106,-0.0227,0.1333
TaiESM1,0.1069,-0.0395,0.1464
UKESM1-0-LL,0.1654,-0.0045,0.1700
