model,efp_full,efp_k1-3,efp_gt3
ACCESS-CM2,0.3136,0.0967,0.3111
ACCESS-ESM1-5,0.1964,0.1270,0.1726
BCC-CSM2-MR,0.2010,0.0970,0.2168
CMCC-CM2-HR4,0.1270,0.0700,0.1445
CMCC-CM2-SR5,0.1482,0.0761,0.1209
CNRM-CM6-1-HR,0.1222,0.0583,0.1128
EC-Earth3,0.2099,0.0621,0.1428
EC-Earth3-AerChem,0.1504,0.0434,0.1174
EC-Earth3-CC,0.1313,0.0414,0.0726
FGOALS-f3-L,0.2827,0.0966,0.1750
GFDL-CM4,0.2516,0.0689,0.1386
GFDL-ESM4,0.1305,0.0799,0.1075
GISS-E2-1-G,0.3821,0.0740,0.3303
HadGEM3-GC31-LL,0.2216,0.0462,0.2139
HadGEM3-GC31-MM,0.2398,0.0457,0.1787
KIOST-ESM,0.2692,0.0984,0.1957
MIROC-ES2L,0.2923,0.0617,0.2161
MIROC6,0.2283,0.0819,0.2007
MPI-ESM-1-2-HAM,0.2162,0.0215,0.1820
MPI-ESM1-2-HR,0.1790,0.0726,0.1507
MPI-ESM1-2-LR,0.2209,0.0539,0.1537
MRI-ESM2-0,0.2654,0.0645,0.2273
NESM3,0.1742,0.0764,0.1417
NorESM2-LM,0.1674,0.0432,0.1518
NorESM2-MM,0.2446,0.0381,0.1806
SAM0-UNICON,0.1833,0.0734,0.1884
TaiESM1,0.2124,0.1149,0.2033
UKESM1-0-LL,0.2534,0.0882,0.2209
