model,efp_full,efp_k1-3,efp_gt3
ACCESS-CM2,0.3745,0.0316,0.2776
ACCESS-ESM1-5,0.3271,0.0599,0.3047
BCC-CSM2-MR,0.2712,0.0871,0.2940
CMCC-CM2-HR4,0.2424,0.0551,0.2566
CMCC-CM2-SR5,0.3305,0.0314,0.2644
CNRM-CM6-1-HR,0.3508,0.0314,0.2598
EC-Earth3,0.2745,0.0330,0.1527
EC-Earth3-AerChem,0.3364,0.0265,0.2368
EC-Earth3-CC,0.2700,0.0402,0.1700
FGOALS-f3-L,0.3232,0.0413,0.2800
GFDL-CM4,0.3721,0.0527,0.2684
GFDL-ESM4,0.2682,0.0413,0.2004
GISS-E2-1-G,0.4048,0.0755,0.4045
HadGEM3-GC31-LL,0.3136,0.0304,0.1985
HadGEM3-GC31-MM,0.2847,0.0371,0.2244
KIOST-ESM,0.3478,0.0704,0.3405
MIROC-ES2L,0.3250,0.0286,0.2663
MIROC6,0.2262,0.0540,0.2211
MPI-ESM-1-2-HAM,0.3940,0.0509,0.3499
MPI-ESM1-2-HR,0.3730,0.0514,0.3182
MPI-ESM1-2-LR,0.3308,0.0331,0.3073
MRI-ESM2-0,0.3423,0.0278,0.2500
NESM3,0.4124,0.0284,0.3127
NorESM2-LM,0.3433,0.0395,0.3167
NorESM2-MM,0.3270,0.0425,0.3019
SAM0-UNICON,0.3169,0.0421,0.3408
TaiESM1,0.3772,0.0529,0.2928
UKESM1-0-LL,0.2640,0.0390,0.1859
