model,tau_fit_3_days
ACCESS-CM2,8.4556
ACCESS-ESM1-5,10.0897
BCC-CSM2-MR,8.4115
CMCC-CM2-HR4,8.3931
CMCC-CM2-SR5,8.2085
CNRM-CM6-1-HR,9.0013
EC-Earth3,8.0354
EC-Earth3-AerChem,7.8883
EC-Earth3-CC,14.6895
FGOALS-f3-L,9.8610
GFDL-CM4,8.3203
GFDL-ESM4,8.0090
GISS-E2-1-G,8.9931
HadGEM3-GC31-LL,7.4683
HadGEM3-GC31-MM,8.6237
KIOST-ESM,8.3258
MIROC-ES2L,8.9630
MIROC6,8.5755
MPI-ESM-1-2-HAM,8.5995
MPI-ESM1-2-HR,8.6956
MPI-ESM1-2-LR,8.9810
MRI-ESM2-0,9.2720
NESM3,7.8417
NorESM2-LM,7.7466
NorESM2-MM,9.9669
SAM0-UNICON,9.4442
TaiESM1,8.2104
UKESM1-0-LL,7.5528
Multi-model mean,8.8080
JRA55,8.6310
