model,tau_fit_3_days
ACCESS-CM2,8.2560
ACCESS-ESM1-5,9.5599
BCC-CSM2-MR,9.1593
CMCC-CM2-HR4,9.4027
CMCC-CM2-SR5,10.7468
CNRM-CM6-1-HR,10.6168
EC-Earth3,10.1923
EC-Earth3-AerChem,8.2296
EC-Earth3-CC,18.0036
FGOALS-f3-L,15.0457
GFDL-CM4,9.8757
GFDL-ESM4,10.5896
GISS-E2-1-G,11.6533
HadGEM3-GC31-LL,8.7517
HadGEM3-GC31-MM,11.0992
KIOST-ESM,9.1984
MIROC-ES2L,8.0645
MIROC6,10.9777
MPI-ESM-1-2-HAM,6.8251
MPI-ESM1-2-HR,9.4999
MPI-ESM1-2-LR,9.8522
MRI-ESM2-0,10.9844
NESM3,8.0215
NorESM2-LM,10.0735
NorESM2-MM,10.0920
SAM0-UNICON,10.7503
TaiESM1,8.7534
UKESM1-0-LL,9.3510
Multi-model mean,10.1295
