model,tau_fit_3_days
ACCESS-CM2,6.3105
ACCESS-ESM1-5,6.2482
BCC-CSM2-MR,6.7965
CMCC-CM2-HR4,7.1947
CMCC-CM2-SR5,7.6506
CNRM-CM6-1-HR,7.1881
EC-Earth3,8.6939
EC-Earth3-AerChem,6.2664
EC-Earth3-CC,19.6544
FGOALS-f3-L,10.9283
GFDL-CM4,8.9040
GFDL-ESM4,8.7852
GISS-E2-1-G,10.2679
HadGEM3-GC31-LL,6.4724
HadGEM3-GC31-MM,8.0472
KIOST-ESM,7.3838
MIROC-ES2L,6.9484
MIROC6,7.8318
MPI-ESM-1-2-HAM,5.7543
MPI-ESM1-2-HR,7.1246
MPI-ESM1-2-LR,7.8465
MRI-ESM2-0,7.6756
NESM3,5.0804
NorESM2-LM,8.7897
NorESM2-MM,7.7887
SAM0-UNICON,8.6030
TaiESM1,7.0213
UKESM1-0-LL,6.2857
Multi-model mean,7.9837
