model,tau_fit_3_days
ACCESS-CM2,6.7354
ACCESS-ESM1-5,7.7341
BCC-CSM2-MR,6.9739
CMCC-CM2-HR4,5.2042
CMCC-CM2-SR5,5.9341
CNRM-CM6-1-HR,7.0850
EC-Earth3,7.0241
EC-Earth3-AerChem,6.3556
EC-Earth3-CC,10.1755
FGOALS-f3-L,7.3567
GFDL-CM4,6.3283
GFDL-ESM4,4.9725
GISS-E2-1-G,7.8675
HadGEM3-GC31-LL,6.6691
HadGEM3-GC31-MM,6.9795
KIOST-ESM,5.6768
MIROC-ES2L,7.8354
MIROC6,8.9106
MPI-ESM-1-2-HAM,6.7557
MPI-ESM1-2-HR,5.6236
MPI-ESM1-2-LR,5.6810
MRI-ESM2-0,6.8095
NESM3,5.1761
NorESM2-LM,8.3575
NorESM2-MM,8.1974
SAM0-UNICON,8.7225
TaiESM1,7.0132
UKESM1-0-LL,6.5111
Multi-model mean,6.9524
