model,tau_fit_3_days
ACCESS-CM2,7.0168
ACCESS-ESM1-5,7.9351
BCC-CSM2-MR,6.6300
CMCC-CM2-HR4,4.3244
CMCC-CM2-SR5,5.0358
CNRM-CM6-1-HR,6.1233
EC-Earth3,5.9378
EC-Earth3-AerChem,5.4853
EC-Earth3-CC,9.7988
FGOALS-f3-L,7.0699
GFDL-CM4,6.3935
GFDL-ESM4,3.8517
GISS-E2-1-G,7.4445
HadGEM3-GC31-LL,7.1213
HadGEM3-GC31-MM,5.6930
KIOST-ESM,4.6852
MIROC-ES2L,11.2985
MIROC6,5.9135
MPI-ESM-1-2-HAM,5.8594
MPI-ESM1-2-HR,5.4726
MPI-ESM1-2-LR,4.9586
MRI-ESM2-0,6.4898
NESM3,4.7579
NorESM2-LM,9.0005
NorESM2-MM,7.4374
SAM0-UNICON,6.2311
TaiESM1,6.6919
UKESM1-0-LL,4.7640
Multi-model mean,6.4079
