model,tau_fit_3_days
ACCESS-CM2,7.4211
ACCESS-ESM1-5,8.5057
BCC-CSM2-MR,7.1741
CMCC-CM2-HR4,7.1464
CMCC-CM2-SR5,6.9592
CNRM-CM6-1-HR,7.6251
EC-Earth3,6.8784
EC-Earth3-AerChem,6.6858
EC-Earth3-CC,15.9600
FGOALS-f3-L,8.3845
GFDL-CM4,7.5807
GFDL-ESM4,6.5928
GISS-E2-1-G,8.4220
HadGEM3-GC31-LL,6.7420
HadGEM3-GC31-MM,7.4084
KIOST-ESM,7.0859
MIROC-ES2L,8.3364
MIROC6,6.9321
MPI-ESM-1-2-HAM,7.1325
MPI-ESM1-2-HR,7.2641
MPI-ESM1-2-LR,7.4986
MRI-ESM2-0,8.1199
NESM3,7.0390
NorESM2-LM,7.0478
NorESM2-MM,8.1878
SAM0-UNICON,8.0243
TaiESM1,7.2450
UKESM1-0-LL,6.6962
Multi-model mean,7.7177
JRA55,7.1621
