model,tau_fit_3_days
ACCESS-CM2,6.7730
ACCESS-ESM1-5,10.3438
BCC-CSM2-MR,7.8550
CMCC-CM2-HR4,9.4455
CMCC-CM2-SR5,8.9347
CNRM-CM6-1-HR,9.1436
EC-Earth3,9.7302
EC-Earth3-AerChem,8.2413
EC-Earth3-CC,22.6835
FGOALS-f3-L,11.6690
GFDL-CM4,8.3459
GFDL-ESM4,10.4179
GISS-E2-1-G,10.9568
HadGEM3-GC31-LL,8.2393
HadGEM3-GC31-MM,8.2594
KIOST-ESM,8.7101
MIROC-ES2L,7.8161
MIROC6,6.7012
MPI-ESM-1-2-HAM,8.9680
MPI-ESM1-2-HR,10.4180
MPI-ESM1-2-LR,11.2686
MRI-ESM2-0,7.3209
NESM3,8.6354
NorESM2-LM,7.3140
NorESM2-MM,10.4267
SAM0-UNICON,11.7825
TaiESM1,8.7899
UKESM1-0-LL,5.6934
Multi-model mean,9.4601
