model,tau_fit_3_days
ACCESS-CM2,5.5896
ACCESS-ESM1-5,7.9567
BCC-CSM2-MR,5.7245
CMCC-CM2-HR4,6.9891
CMCC-CM2-SR5,6.6554
CNRM-CM6-1-HR,7.9206
EC-Earth3,7.8908
EC-Earth3-AerChem,6.9843
EC-Earth3-CC,27.0405
FGOALS-f3-L,8.7094
GFDL-CM4,6.4003
GFDL-ESM4,8.0418
GISS-E2-1-G,8.7061
HadGEM3-GC31-LL,6.4311
HadGEM3-GC31-MM,6.3137
KIOST-ESM,7.9242
MIROC-ES2L,8.3083
MIROC6,6.3652
MPI-ESM-1-2-HAM,7.3358
MPI-ESM1-2-HR,8.0313
MPI-ESM1-2-LR,7.3115
MRI-ESM2-0,5.2824
NESM3,6.4025
NorESM2-LM,5.9947
NorESM2-MM,8.1313
SAM0-UNICON,9.4508
TaiESM1,7.3809
UKESM1-0-LL,5.1163
Multi-model mean,7.8710
