model,c
ACCESS-CM2,0.8345985724742595
ACCESS-ESM1-5,0.8546640681910717
BCC-CSM2-MR,0.8800967886066428
CMCC-CM2-HR4,0.8790347611042066
CMCC-CM2-SR5,0.8854277287289547
CNRM-CM6-1-HR,0.7874771988684954
EC-Earth3,0.9114434220312659
EC-Earth3-AerChem,0.9008659476193485
EC-Earth3-CC,0.662007895520944
FGOALS-f3-L,0.7842844260715901
GFDL-CM4,0.8544955453668689
GFDL-ESM4,0.8754989021438074
GISS-E2-1-G,0.7912506066651578
HadGEM3-GC31-LL,0.8488150523672778
HadGEM3-GC31-MM,0.769782987738377
KIOST-ESM,0.8606778273878729
MIROC-ES2L,0.7964192966127083
MIROC6,0.7184549785833478
MPI-ESM-1-2-HAM,0.8446962909281535
MPI-ESM1-2-HR,0.900636171542543
MPI-ESM1-2-LR,0.8670641343222787
MRI-ESM2-0,0.8011826786429666
NESM3,0.9084375195227885
NorESM2-LM,0.8862486226885271
NorESM2-MM,0.9018713938600726
SAM0-UNICON,0.7481769714332082
TaiESM1,0.8559134245751217
UKESM1-0-LL,0.8600921400085364
JRA55,0.6771420537413543
