variant,season,r,p,n
div1_QG,DJF,0.553017406842728,0.0022719356328160314,28
div1_QG,JFM,0.4674777433806368,0.012130693733729105,28
div1_QG,FMA,0.48960349226881,0.008183229394488312,28
div1_QG,MAM,0.4866339994007683,0.008639944590708744,28
div1_QG,AMJ,0.31273208982249795,0.10516471997091015,28
div1_QG,MJJ,0.2989754403677585,0.12222656075698299,28
div1_QG,JJA,0.3929116963235505,0.03860984857188218,28
div1_QG,JAS,0.4049495106913857,0.03254687528800457,28
div1_QG,ASO,0.3269832606737268,0.08943310575466508,28
div1_QG,SON,0.28355024407940993,0.14368500005455948,28
div1_QG,OND,0.4878928706954797,0.008443778133588665,28
div1_QG,NDJ,0.6178976264618964,0.0004588437256540248,28
div1_QG_123,DJF,-0.23511586273715618,0.22844782900628202,28
div1_QG_123,JFM,-0.2959162966613405,0.12628244237051925,28
div1_QG_123,FMA,-0.3381946065636879,0.07836453840237861,28
div1_QG_123,MAM,-0.1526755421563863,0.43797719857342177,28
div1_QG_123,AMJ,0.05105843012476912,0.7963868130600532,28
div1_QG_123,MJJ,-0.30133353427188636,0.11916613551003458,28
div1_QG_123,JJA,-0.37208379529529373,0.05120327272629056,28
div1_QG_123,JAS,-0.03930181226908205,0.842606599536911,28
div1_QG_123,ASO,0.23574309338013963,0.22717284338342375,28
div1_QG_123,SON,0.3346584268774869,0.08173590932167998,28
div1_QG_123,OND,0.1964730518893899,0.31632002117470137,28
div1_QG_123,NDJ,-0.13403726591055823,0.49650420149995744,28
div1_QG_gt3,DJF,0.5617388035201165,0.001866997727127536,28
div1_QG_gt3,JFM,0.48183415913409666,0.009423399744353697,28
div1_QG_gt3,FMA,0.42754990353137856,0.02324139881299681,28
div1_QG_gt3,MAM,0.2574885657286967,0.18589633149603826,28
div1_QG_gt3,AMJ,0.3167694172630725,0.10051249273756308,28
div1_QG_gt3,MJJ,0.23785195329378264,0.22292116162834277,28
div1_QG_gt3,JJA,0.362266292008253,0.058164134379861857,28
div1_QG_gt3,JAS,0.393387440320887,0.038354238217461575,28
div1_QG_gt3,ASO,0.08614276061627292,0.6629423966435357,28
div1_QG_gt3,SON,0.1564438474446544,0.4266169690131832,28
div1_QG_gt3,OND,0.3941877734744264,0.037927284722255324,28
div1_QG_gt3,NDJ,0.4469060226610767,0.017114904082573986,28
