season,variant,excluded_models,n,r,p
JJA,full,none,28,-0.1977,0.3133
JJA,k1-3,none,28,0.0647,0.7437
JJA,gt3,none,28,-0.0476,0.8098
JJA,full,EC-Earth3-CC,27,-0.0983,0.6257
JJA,k1-3,EC-Earth3-CC,27,0.1055,0.6004
JJA,gt3,EC-Earth3-CC,27,0.1574,0.4331
JJA,full,"EC-Earth3-CC, FGOALS-f3-L",26,-0.0969,0.6378
JJA,k1-3,"EC-Earth3-CC, FGOALS-f3-L",26,0.1098,0.5932
JJA,gt3,"EC-Earth3-CC, FGOALS-f3-L",26,0.1564,0.4454
DJF,full,none,28,-0.0724,0.7144
DJF,k1-3,none,28,-0.0423,0.8307
DJF,gt3,none,28,-0.2749,0.1568
DJF,full,EC-Earth3-CC,27,0.1708,0.3944
DJF,k1-3,EC-Earth3-CC,27,0.1808,0.3667
DJF,gt3,EC-Earth3-CC,27,-0.0224,0.9115
DJF,full,"EC-Earth3-CC, FGOALS-f3-L",26,0.0389,0.8502
DJF,k1-3,"EC-Earth3-CC, FGOALS-f3-L",26,0.0582,0.7776
DJF,gt3,"EC-Earth3-CC, FGOALS-f3-L",26,-0.0089,0.9655
