dataset,season,hemisphere,qg_mode,wind_variant,tau_fit_3
jra55,all_time,n,div1_QG,native,6.565742719621943
jra55,all_time,n,div1_QG,va,6.837260503630798
jra55,all_time,s,div1_QG,native,7.162061655887878
jra55,all_time,s,div1_QG,va,8.63096589790813
jra55,DJF,n,div1_QG,native,5.9631820545860155
jra55,DJF,n,div1_QG,va,7.277639921602391
jra55,DJF,s,div1_QG,native,9.100677675382268
jra55,DJF,s,div1_QG,va,14.52244391505903
jra55,JFM,n,div1_QG,native,6.5302144266854985
jra55,JFM,n,div1_QG,va,6.922442029993034
jra55,JFM,s,div1_QG,native,7.782711428292371
jra55,JFM,s,div1_QG,va,10.294072279997742
jra55,FMA,n,div1_QG,native,7.226405223267923
jra55,FMA,n,div1_QG,va,8.278977610566603
jra55,FMA,s,div1_QG,native,8.618713867775648
jra55,FMA,s,div1_QG,va,9.4600058553331
jra55,MAM,n,div1_QG,native,5.796630651907482
jra55,MAM,n,div1_QG,va,5.895579572524383
jra55,MAM,s,div1_QG,native,7.630124293195808
jra55,MAM,s,div1_QG,va,8.877783416078977
jra55,AMJ,n,div1_QG,native,7.265571024957104
jra55,AMJ,n,div1_QG,va,6.781665033340467
jra55,AMJ,s,div1_QG,native,6.902253366322964
jra55,AMJ,s,div1_QG,va,8.950525436984078
jra55,MJJ,n,div1_QG,native,7.0860489797435715
jra55,MJJ,n,div1_QG,va,5.772994994431314
jra55,MJJ,s,div1_QG,native,6.746480238460119
jra55,MJJ,s,div1_QG,va,7.056520042512877
jra55,JJA,n,div1_QG,native,10.350161321696186
jra55,JJA,n,div1_QG,va,7.368320955828865
jra55,JJA,s,div1_QG,native,8.142651637648074
jra55,JJA,s,div1_QG,va,7.967048100450291
jra55,JAS,n,div1_QG,native,10.716130786004467
jra55,JAS,n,div1_QG,va,9.44071028294724
jra55,JAS,s,div1_QG,native,6.674505911946399
jra55,JAS,s,div1_QG,va,8.001333597915696
jra55,ASO,n,div1_QG,native,7.829641705870679
jra55,ASO,n,div1_QG,va,8.282282731898187
jra55,ASO,s,div1_QG,native,7.278495630171773
jra55,ASO,s,div1_QG,va,8.78775986565972
jra55,SON,n,div1_QG,native,3.9909417110373537
jra55,SON,n,div1_QG,va,5.7551181423910425
jra55,SON,s,div1_QG,native,6.221026072680848
jra55,SON,s,div1_QG,va,6.362855305720031
jra55,OND,n,div1_QG,native,3.457753619790551
jra55,OND,n,div1_QG,va,4.122060105640855
jra55,OND,s,div1_QG,native,5.334431659579287
jra55,OND,s,div1_QG,va,6.925229604685446
jra55,NDJ,n,div1_QG,native,4.5796619315049085
jra55,NDJ,n,div1_QG,va,5.142773429208649
jra55,NDJ,s,div1_QG,native,6.06717304221607
jra55,NDJ,s,div1_QG,va,8.611004348360293
