model,variant,hemisphere,season,b
ACCESS-CM2,div1_QG,n,DJF,-0.010261699947734067
ACCESS-CM2,div1_QG,n,JFM,0.0049715841584005716
ACCESS-CM2,div1_QG,n,FMA,-0.008455242224818312
ACCESS-CM2,div1_QG,n,MAM,-0.003190846236458516
ACCESS-CM2,div1_QG,n,AMJ,-0.03886479677837899
ACCESS-CM2,div1_QG,n,MJJ,-0.05102161502311161
ACCESS-CM2,div1_QG,n,JJA,-0.10328020474038946
ACCESS-CM2,div1_QG,n,JAS,-0.08290964685404263
ACCESS-CM2,div1_QG,n,ASO,-0.016631915071881567
ACCESS-CM2,div1_QG,n,SON,0.01694671504304662
ACCESS-CM2,div1_QG,n,OND,0.026458159574747883
ACCESS-CM2,div1_QG,n,NDJ,0.008491481176026858
ACCESS-CM2,div1_QG,s,DJF,0.09880406895271937
ACCESS-CM2,div1_QG,s,JFM,0.07273322760289691
ACCESS-CM2,div1_QG,s,FMA,0.05766601341927685
ACCESS-CM2,div1_QG,s,MAM,0.029824211490041146
ACCESS-CM2,div1_QG,s,AMJ,0.08159995923727197
ACCESS-CM2,div1_QG,s,MJJ,0.13330064800295677
ACCESS-CM2,div1_QG,s,JJA,0.1440631308972858
ACCESS-CM2,div1_QG,s,JAS,0.14471532398480816
ACCESS-CM2,div1_QG,s,ASO,0.13555326158337697
ACCESS-CM2,div1_QG,s,SON,0.13084274905214505
ACCESS-CM2,div1_QG,s,OND,0.12984975236277974
ACCESS-CM2,div1_QG,s,NDJ,0.10565126770460834
ACCESS-CM2,div1_QG_123,n,DJF,0.004861735076505929
ACCESS-CM2,div1_QG_123,n,JFM,0.015245588273539046
ACCESS-CM2,div1_QG_123,n,FMA,0.01394689305631817
ACCESS-CM2,div1_QG_123,n,MAM,0.00795104466787104
ACCESS-CM2,div1_QG_123,n,AMJ,-0.009691856327014643
ACCESS-CM2,div1_QG_123,n,MJJ,-0.02169018637480989
ACCESS-CM2,div1_QG_123,n,JJA,-0.05540310400503488
ACCESS-CM2,div1_QG_123,n,JAS,-0.04857698595762521
ACCESS-CM2,div1_QG_123,n,ASO,-0.011172565999158855
ACCESS-CM2,div1_QG_123,n,SON,0.02215657580160427
ACCESS-CM2,div1_QG_123,n,OND,0.03381372147092659
ACCESS-CM2,div1_QG_123,n,NDJ,0.002854972471042043
ACCESS-CM2,div1_QG_123,s,DJF,-0.015706019331958407
ACCESS-CM2,div1_QG_123,s,JFM,-0.022463602681658618
ACCESS-CM2,div1_QG_123,s,FMA,-0.04243264410057209
ACCESS-CM2,div1_QG_123,s,MAM,-0.09982280525350506
ACCESS-CM2,div1_QG_123,s,AMJ,-0.08868446291783266
ACCESS-CM2,div1_QG_123,s,MJJ,-0.02868595225913851
ACCESS-CM2,div1_QG_123,s,JJA,-0.02940846968307732
ACCESS-CM2,div1_QG_123,s,JAS,-0.03875780840641228
ACCESS-CM2,div1_QG_123,s,ASO,-0.04510807316710315
ACCESS-CM2,div1_QG_123,s,SON,-0.03133913171261879
ACCESS-CM2,div1_QG_123,s,OND,-0.006722948217441389
ACCESS-CM2,div1_QG_123,s,NDJ,-0.01019275795593554
ACCESS-CM2,div1_QG_gt3,n,DJF,-0.01509477003541818
ACCESS-CM2,div1_QG_gt3,n,JFM,-0.010192851560664304
ACCESS-CM2,div1_QG_gt3,n,FMA,-0.022284011515199417
ACCESS-CM2,div1_QG_gt3,n,MAM,-0.010977435165891593
ACCESS-CM2,div1_QG_gt3,n,AMJ,-0.029034315794082458
ACCESS-CM2,div1_QG_gt3,n,MJJ,-0.02938839766490623
ACCESS-CM2,div1_QG_gt3,n,JJA,-0.047938128212917555
ACCESS-CM2,div1_QG_gt3,n,JAS,-0.03441133710107379
ACCESS-CM2,div1_QG_gt3,n,ASO,-0.005551202474322944
ACCESS-CM2,div1_QG_gt3,n,SON,-0.005189012663866343
ACCESS-CM2,div1_QG_gt3,n,OND,-0.0073248660214841905
ACCESS-CM2,div1_QG_gt3,n,NDJ,0.005661381304108394
ACCESS-CM2,div1_QG_gt3,s,DJF,0.11451031670135325
ACCESS-CM2,div1_QG_gt3,s,JFM,0.09519643692614244
ACCESS-CM2,div1_QG_gt3,s,FMA,0.10009910070694078
ACCESS-CM2,div1_QG_gt3,s,MAM,0.12964775971021436
ACCESS-CM2,div1_QG_gt3,s,AMJ,0.17028104984067732
ACCESS-CM2,div1_QG_gt3,s,MJJ,0.16197250282735787
ACCESS-CM2,div1_QG_gt3,s,JJA,0.17346140489370884
ACCESS-CM2,div1_QG_gt3,s,JAS,0.18347313239122043
ACCESS-CM2,div1_QG_gt3,s,ASO,0.1806613347504801
ACCESS-CM2,div1_QG_gt3,s,SON,0.16218188076476378
ACCESS-CM2,div1_QG_gt3,s,OND,0.13657328917945433
ACCESS-CM2,div1_QG_gt3,s,NDJ,0.11584473258082241
ACCESS-ESM1-5,div1_QG,n,DJF,-0.006226213056180672
ACCESS-ESM1-5,div1_QG,n,JFM,-0.004692100194512551
ACCESS-ESM1-5,div1_QG,n,FMA,0.0012503649198407768
ACCESS-ESM1-5,div1_QG,n,MAM,-0.02094812217896489
ACCESS-ESM1-5,div1_QG,n,AMJ,-0.030645848278978798
ACCESS-ESM1-5,div1_QG,n,MJJ,-0.08044689990402977
ACCESS-ESM1-5,div1_QG,n,JJA,-0.09517579308453221
ACCESS-ESM1-5,div1_QG,n,JAS,-0.09218576180683623
ACCESS-ESM1-5,div1_QG,n,ASO,-0.01461533933262959
ACCESS-ESM1-5,div1_QG,n,SON,-0.04250827665583366
ACCESS-ESM1-5,div1_QG,n,OND,-0.042213660872481296
ACCESS-ESM1-5,div1_QG,n,NDJ,-0.08611780241292212
ACCESS-ESM1-5,div1_QG,s,DJF,0.057601392907010183
ACCESS-ESM1-5,div1_QG,s,JFM,0.03193875459097233
ACCESS-ESM1-5,div1_QG,s,FMA,0.014053552673149687
ACCESS-ESM1-5,div1_QG,s,MAM,0.0009868759301040735
ACCESS-ESM1-5,div1_QG,s,AMJ,0.02423511137936181
ACCESS-ESM1-5,div1_QG,s,MJJ,0.05129908835432093
ACCESS-ESM1-5,div1_QG,s,JJA,0.02946348118599251
ACCESS-ESM1-5,div1_QG,s,JAS,0.05194287043941684
ACCESS-ESM1-5,div1_QG,s,ASO,0.06954343340064223
ACCESS-ESM1-5,div1_QG,s,SON,0.08652195399057541
ACCESS-ESM1-5,div1_QG,s,OND,0.07314675425318577
ACCESS-ESM1-5,div1_QG,s,NDJ,0.06614935171967078
ACCESS-ESM1-5,div1_QG_123,n,DJF,0.006106694141986016
