model,n_levels,pressure_levels
ACCESS-CM2,3,"[np.float64(850.0000000001002), np.float64(500.0000000001), np.float64(250.00000000009996)]"
ACCESS-ESM1-5,3,"[np.float64(850.0000000001002), np.float64(500.0000000001), np.float64(250.00000000009996)]"
AWI-ESM-1-1-LR,6,"[np.float64(925.0), np.float64(850.0), np.float64(700.0), np.float64(600.0), np.float64(500.0), np.float64(250.0)]"
BCC-CSM2-MR,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
CMCC-CM2-HR4,6,"[np.float64(925.0), np.float64(850.0), np.float64(700.0), np.float64(600.0), np.float64(500.0), np.float64(250.0)]"
CMCC-CM2-SR5,6,"[np.float64(925.0), np.float64(850.0), np.float64(700.0), np.float64(600.0), np.float64(500.0), np.float64(250.0)]"
CNRM-CM6-1-HR,6,"[np.float32(925.0), np.float32(850.0), np.float32(700.0), np.float32(600.0), np.float32(500.0), np.float32(250.0)]"
EC-Earth3,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
EC-Earth3-AerChem,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
EC-Earth3-CC,3,"[np.float64(850.0), np.float64(500.0), np.float64(50.0)]"
EC-Earth3-Veg-LR,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
FGOALS-f3-L,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
GFDL-CM4,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
GFDL-ESM4,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
GISS-E2-1-G,6,"[np.float64(925.0), np.float64(850.0), np.float64(700.0), np.float64(600.0), np.float64(500.0), np.float64(250.0)]"
HadGEM3-GC31-LL,6,"[np.float64(925.0), np.float64(850.0), np.float64(700.0), np.float64(600.0), np.float64(500.0), np.float64(250.0)]"
HadGEM3-GC31-MM,6,"[np.float64(925.0), np.float64(850.0), np.float64(700.0), np.float64(600.0), np.float64(500.0), np.float64(250.0)]"
KIOST-ESM,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
MIROC-ES2L,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
MIROC6,6,"[np.float64(925.0), np.float64(850.0), np.float64(700.0), np.float64(600.0), np.float64(500.0), np.float64(250.0)]"
MPI-ESM-1-2-HAM,6,"[np.float64(925.0), np.float64(850.0), np.float64(700.0), np.float64(600.0), np.float64(500.0), np.float64(250.0)]"
MPI-ESM1-2-HR,6,"[np.float64(925.0), np.float64(850.0), np.float64(700.0), np.float64(600.0), np.float64(500.0), np.float64(250.0)]"
MPI-ESM1-2-LR,6,"[np.float64(925.0), np.float64(850.0), np.float64(700.0), np.float64(600.0), np.float64(500.0), np.float64(250.0)]"
MRI-ESM2-0,6,"[np.float64(925.0), np.float64(850.0), np.float64(700.0), np.float64(600.0), np.float64(500.0), np.float64(250.0)]"
NESM3,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
NorESM2-LM,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
NorESM2-MM,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
SAM0-UNICON,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
TaiESM1,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
UKESM1-0-LL,3,"[np.float64(850.0), np.float64(500.0), np.float64(250.0)]"
