model,variant,hemisphere,season,b
JRA55,div1_QG,n,DJF,0.081479255005764
JRA55,div1_QG,n,JFM,0.06061900015093585
JRA55,div1_QG,n,FMA,0.0521037377561292
JRA55,div1_QG,n,MAM,0.028768903487679427
JRA55,div1_QG,n,AMJ,-0.016675297444948573
JRA55,div1_QG,n,MJJ,-0.23503096622375624
JRA55,div1_QG,n,JJA,-0.1226561051295002
JRA55,div1_QG,n,JAS,-0.06861288618013071
JRA55,div1_QG,n,ASO,-0.12393086250231736
JRA55,div1_QG,n,SON,-0.0040193916606920165
JRA55,div1_QG,n,OND,0.1253910542765869
JRA55,div1_QG,n,NDJ,0.09127519041693705
JRA55,div1_QG,s,DJF,0.00020514883337477202
JRA55,div1_QG,s,JFM,-0.031178319474928527
JRA55,div1_QG,s,FMA,-0.0368586733974022
JRA55,div1_QG,s,MAM,-0.024762347708643856
JRA55,div1_QG,s,AMJ,-0.005324460907332464
JRA55,div1_QG,s,MJJ,0.03554514264343166
JRA55,div1_QG,s,JJA,-0.013600157364010539
JRA55,div1_QG,s,JAS,0.012274721866353349
JRA55,div1_QG,s,ASO,0.014799607963203561
JRA55,div1_QG,s,SON,0.028721830673204572
JRA55,div1_QG,s,OND,0.04169295430572696
JRA55,div1_QG,s,NDJ,0.036582464548772245
JRA55,div1_QG_123,n,DJF,0.03579147459528074
JRA55,div1_QG_123,n,JFM,0.025954710080750214
JRA55,div1_QG_123,n,FMA,0.006168160530071215
JRA55,div1_QG_123,n,MAM,-0.02941251143149095
JRA55,div1_QG_123,n,AMJ,-0.0804349960622857
JRA55,div1_QG_123,n,MJJ,-0.1837255961164051
JRA55,div1_QG_123,n,JJA,-0.07559823949627151
JRA55,div1_QG_123,n,JAS,-0.058672576874801305
JRA55,div1_QG_123,n,ASO,0.09466832109104784
JRA55,div1_QG_123,n,SON,0.014803006228323305
JRA55,div1_QG_123,n,OND,0.03811129257710639
JRA55,div1_QG_123,n,NDJ,0.02584526904777377
JRA55,div1_QG_123,s,DJF,-0.047220997280651045
JRA55,div1_QG_123,s,JFM,-0.06936907869832518
JRA55,div1_QG_123,s,FMA,-0.07515075773469143
JRA55,div1_QG_123,s,MAM,-0.052743114744020166
JRA55,div1_QG_123,s,AMJ,-0.026508553846831564
JRA55,div1_QG_123,s,MJJ,-0.03968642851421581
JRA55,div1_QG_123,s,JJA,-0.07765941523484757
JRA55,div1_QG_123,s,JAS,-0.0477495441105706
JRA55,div1_QG_123,s,ASO,-0.0643416033800394
JRA55,div1_QG_123,s,SON,-0.04003508080753259
JRA55,div1_QG_123,s,OND,-0.017072610785594564
JRA55,div1_QG_123,s,NDJ,-0.022642887388500274
JRA55,div1_QG_gt3,n,DJF,0.045687780410483256
JRA55,div1_QG_gt3,n,JFM,0.03466429007018563
JRA55,div1_QG_gt3,n,FMA,0.045935577226058
JRA55,div1_QG_gt3,n,MAM,0.05818141491917042
JRA55,div1_QG_gt3,n,AMJ,0.06375969861733717
JRA55,div1_QG_gt3,n,MJJ,-0.051305370107351256
JRA55,div1_QG_gt3,n,JJA,-0.04705786563322868
JRA55,div1_QG_gt3,n,JAS,-0.00994030930532932
JRA55,div1_QG_gt3,n,ASO,-0.21859918359336528
JRA55,div1_QG_gt3,n,SON,-0.018822397889015303
JRA55,div1_QG_gt3,n,OND,0.08727976169948054
JRA55,div1_QG_gt3,n,NDJ,0.06542992136916327
JRA55,div1_QG_gt3,s,DJF,0.047426146114025805
JRA55,div1_QG_gt3,s,JFM,0.03819075922339666
JRA55,div1_QG_gt3,s,FMA,0.038292084337289214
JRA55,div1_QG_gt3,s,MAM,0.02798076703537634
JRA55,div1_QG_gt3,s,AMJ,0.0211840929394991
JRA55,div1_QG_gt3,s,MJJ,0.07523157115764746
JRA55,div1_QG_gt3,s,JJA,0.06405925787083704
JRA55,div1_QG_gt3,s,JAS,0.060024265976923924
JRA55,div1_QG_gt3,s,ASO,0.07914121134324295
JRA55,div1_QG_gt3,s,SON,0.06875691148073716
JRA55,div1_QG_gt3,s,OND,0.058765565091321526
JRA55,div1_QG_gt3,s,NDJ,0.05922535193727252
