model,variant,hemisphere,season,b
JRA55,div1_QG,n,DJF,0.1365679153955769
JRA55,div1_QG,n,JFM,0.11572869155726757
JRA55,div1_QG,n,FMA,0.10212252252387014
JRA55,div1_QG,n,MAM,0.06296788913887395
JRA55,div1_QG,n,AMJ,-0.04699900196130236
JRA55,div1_QG,n,MJJ,-0.7376917549667491
JRA55,div1_QG,n,JJA,-0.4150200321090687
JRA55,div1_QG,n,JAS,-0.14855917103039679
JRA55,div1_QG,n,ASO,-0.04086142783150281
JRA55,div1_QG,n,SON,0.09534936420493975
JRA55,div1_QG,n,OND,0.21273094314847993
JRA55,div1_QG,n,NDJ,0.15533216236158184
JRA55,div1_QG,n,all_time,0.08990006007600056
JRA55,div1_QG,s,DJF,0.04847095535016303
JRA55,div1_QG,s,JFM,-0.003197576849482688
JRA55,div1_QG,s,FMA,-0.003440949285452741
JRA55,div1_QG,s,MAM,0.030324918200309425
JRA55,div1_QG,s,AMJ,0.05387122134793452
JRA55,div1_QG,s,MJJ,0.08278394067327682
JRA55,div1_QG,s,JJA,0.043505477916065696
JRA55,div1_QG,s,JAS,0.07339919138915824
JRA55,div1_QG,s,ASO,0.07325868927053808
JRA55,div1_QG,s,SON,0.08682368416780374
JRA55,div1_QG,s,OND,0.10639178182415894
JRA55,div1_QG,s,NDJ,0.08232529388116148
JRA55,div1_QG,s,all_time,0.0632529283145999
JRA55,div1_QG_123,n,DJF,0.05935986032358036
JRA55,div1_QG_123,n,JFM,0.043381753564978184
JRA55,div1_QG_123,n,FMA,0.01267730019644231
JRA55,div1_QG_123,n,MAM,-0.036837441309388305
JRA55,div1_QG_123,n,AMJ,-0.14673661277131933
JRA55,div1_QG_123,n,MJJ,-0.5943952452387213
JRA55,div1_QG_123,n,JJA,-0.24008492918705532
JRA55,div1_QG_123,n,JAS,-0.14247230811811654
JRA55,div1_QG_123,n,ASO,0.01744581451608763
JRA55,div1_QG_123,n,SON,0.013360574137487069
JRA55,div1_QG_123,n,OND,0.08117495785151417
JRA55,div1_QG_123,n,NDJ,0.05109907746516017
JRA55,div1_QG_123,n,all_time,0.007108131740931556
JRA55,div1_QG_123,s,DJF,-0.05243157900820175
JRA55,div1_QG_123,s,JFM,-0.08989396696572488
JRA55,div1_QG_123,s,FMA,-0.08279209539781104
JRA55,div1_QG_123,s,MAM,-0.05365156500449258
JRA55,div1_QG_123,s,AMJ,-0.012071140515769517
JRA55,div1_QG_123,s,MJJ,-0.011735530817136335
JRA55,div1_QG_123,s,JJA,-0.0333412477408275
JRA55,div1_QG_123,s,JAS,-0.02301721901604902
JRA55,div1_QG_123,s,ASO,-0.0462713046039325
JRA55,div1_QG_123,s,SON,-0.033967309546803694
JRA55,div1_QG_123,s,OND,-0.009208826837492563
JRA55,div1_QG_123,s,NDJ,-0.026220416543341066
JRA55,div1_QG_123,s,all_time,-0.034473699075063126
JRA55,div1_QG_gt3,n,DJF,0.07720805507199652
JRA55,div1_QG_gt3,n,JFM,0.07234693799228938
JRA55,div1_QG_gt3,n,FMA,0.08944522232742781
JRA55,div1_QG_gt3,n,MAM,0.09980533044826227
JRA55,div1_QG_gt3,n,AMJ,0.09973761081001697
JRA55,div1_QG_gt3,n,MJJ,-0.14329650972802804
JRA55,div1_QG_gt3,n,JJA,-0.1749351029220132
JRA55,div1_QG_gt3,n,JAS,-0.006086862912280324
JRA55,div1_QG_gt3,n,ASO,-0.05830724234759051
JRA55,div1_QG_gt3,n,SON,0.08198879006745258
JRA55,div1_QG_gt3,n,OND,0.1315559852969658
JRA55,div1_QG_gt3,n,NDJ,0.1042330848964217
JRA55,div1_QG_gt3,n,all_time,0.08279192833506897
JRA55,div1_QG_gt3,s,DJF,0.10090253435836474
JRA55,div1_QG_gt3,s,JFM,0.08669639011624214
JRA55,div1_QG_gt3,s,FMA,0.07935114611235836
JRA55,div1_QG_gt3,s,MAM,0.08397648320480204
JRA55,div1_QG_gt3,s,AMJ,0.06594236186370403
JRA55,div1_QG_gt3,s,MJJ,0.09451947149041315
JRA55,div1_QG_gt3,s,JJA,0.0768467256568932
JRA55,div1_QG_gt3,s,JAS,0.09641641040520726
JRA55,div1_QG_gt3,s,ASO,0.1195299938744706
JRA55,div1_QG_gt3,s,SON,0.12079099371460747
JRA55,div1_QG_gt3,s,OND,0.11560060866165153
JRA55,div1_QG_gt3,s,NDJ,0.10854571042450253
JRA55,div1_QG_gt3,s,all_time,0.09772662738966306
