model,variant,hemisphere,season,efp
JRA55,div1_QG,n,DJF,0.3863
JRA55,div1_QG,n,JFM,0.3225
JRA55,div1_QG,n,FMA,0.1856
JRA55,div1_QG,n,MAM,0.152
JRA55,div1_QG,n,AMJ,0.1244
JRA55,div1_QG,n,MJJ,0.1563
JRA55,div1_QG,n,JJA,0.1341
JRA55,div1_QG,n,JAS,0.1285
JRA55,div1_QG,n,ASO,0.1459
JRA55,div1_QG,n,SON,0.1564
JRA55,div1_QG,n,OND,0.2505
JRA55,div1_QG,n,NDJ,0.3288
JRA55,div1_QG_123,n,DJF,0.2028
JRA55,div1_QG_123,n,JFM,0.143
JRA55,div1_QG_123,n,FMA,0.0665
JRA55,div1_QG_123,n,MAM,0.0618
JRA55,div1_QG_123,n,AMJ,0.0234
JRA55,div1_QG_123,n,MJJ,0.0361
JRA55,div1_QG_123,n,JJA,0.0586
JRA55,div1_QG_123,n,JAS,0.0453
JRA55,div1_QG_123,n,ASO,0.0532
JRA55,div1_QG_123,n,SON,0.0708
JRA55,div1_QG_123,n,OND,0.1069
JRA55,div1_QG_123,n,NDJ,0.1619
JRA55,div1_QG_gt3,n,DJF,0.1307
JRA55,div1_QG_gt3,n,JFM,0.1404
JRA55,div1_QG_gt3,n,FMA,0.1316
JRA55,div1_QG_gt3,n,MAM,0.0941
JRA55,div1_QG_gt3,n,AMJ,0.0907
JRA55,div1_QG_gt3,n,MJJ,0.0816
JRA55,div1_QG_gt3,n,JJA,0.0772
JRA55,div1_QG_gt3,n,JAS,0.092
JRA55,div1_QG_gt3,n,ASO,0.1129
JRA55,div1_QG_gt3,n,SON,0.1394
JRA55,div1_QG_gt3,n,OND,0.1648
JRA55,div1_QG_gt3,n,NDJ,0.1443
JRA55,div1_QG,s,DJF,0.1533
JRA55,div1_QG,s,JFM,0.1742
JRA55,div1_QG,s,FMA,0.1536
JRA55,div1_QG,s,MAM,0.1891
JRA55,div1_QG,s,AMJ,0.2151
JRA55,div1_QG,s,MJJ,0.2519
JRA55,div1_QG,s,JJA,0.2725
JRA55,div1_QG,s,JAS,0.2641
JRA55,div1_QG,s,ASO,0.2505
JRA55,div1_QG,s,SON,0.2762
JRA55,div1_QG,s,OND,0.2816
JRA55,div1_QG,s,NDJ,0.2123
JRA55,div1_QG_123,s,DJF,0.0573
JRA55,div1_QG_123,s,JFM,0.0216
JRA55,div1_QG_123,s,FMA,0.0347
JRA55,div1_QG_123,s,MAM,0.0292
JRA55,div1_QG_123,s,AMJ,0.0402
JRA55,div1_QG_123,s,MJJ,0.0247
JRA55,div1_QG_123,s,JJA,0.0305
JRA55,div1_QG_123,s,JAS,0.0238
JRA55,div1_QG_123,s,ASO,0.0654
JRA55,div1_QG_123,s,SON,0.0497
JRA55,div1_QG_123,s,OND,0.0233
JRA55,div1_QG_123,s,NDJ,0.0564
JRA55,div1_QG_gt3,s,DJF,0.1299
JRA55,div1_QG_gt3,s,JFM,0.1299
JRA55,div1_QG_gt3,s,FMA,0.1255
JRA55,div1_QG_gt3,s,MAM,0.1463
JRA55,div1_QG_gt3,s,AMJ,0.1766
JRA55,div1_QG_gt3,s,MJJ,0.2408
JRA55,div1_QG_gt3,s,JJA,0.2439
JRA55,div1_QG_gt3,s,JAS,0.2299
JRA55,div1_QG_gt3,s,ASO,0.2566
JRA55,div1_QG_gt3,s,SON,0.2534
JRA55,div1_QG_gt3,s,OND,0.2342
JRA55,div1_QG_gt3,s,NDJ,0.2079
