season,hemisphere,wavenumber_variant,r,p,n
DJF,NH,div1_QG,-0.03749001378220948,0.8497791169867953,28
DJF,NH,div1_QG_123,0.23085148248840529,0.2372431801998815,28
DJF,NH,div1_QG_gt3,0.2500262244402939,0.19942524210369625,28
DJF,SH,div1_QG,0.5530174068427283,0.00227193563281602,28
DJF,SH,div1_QG_123,-0.23511586273715693,0.22844782900628022,28
DJF,SH,div1_QG_gt3,0.5617388035201164,0.0018669977271275455,28
JFM,NH,div1_QG,-0.14096487245926057,0.47430448755365195,28
JFM,NH,div1_QG_123,0.021640646464650616,0.9129619747065775,28
JFM,NH,div1_QG_gt3,0.14056934067269639,0.47555799760653156,28
JFM,SH,div1_QG,0.46747774338063675,0.012130693733729105,28
JFM,SH,div1_QG_123,-0.29591629666134084,0.12628244237051867,28
JFM,SH,div1_QG_gt3,0.48183415913409655,0.009423399744353697,28
FMA,NH,div1_QG,-0.07977952695072543,0.6865429435351011,28
FMA,NH,div1_QG_123,-0.15033876729373483,0.44510319266614146,28
FMA,NH,div1_QG_gt3,0.0628287999643293,0.7507768547817593,28
FMA,SH,div1_QG,0.48960349226880984,0.008183229394488312,28
FMA,SH,div1_QG_123,-0.33819460656368794,0.07836453840237861,28
FMA,SH,div1_QG_gt3,0.4275499035313788,0.02324139881299673,28
MAM,NH,div1_QG,0.36951518562337404,0.052957614870751825,28
MAM,NH,div1_QG_123,0.3571606970620564,0.0620652498307823,28
MAM,NH,div1_QG_gt3,0.22564186030979366,0.24828981427844535,28
MAM,SH,div1_QG,0.4866339994007685,0.00863994459070871,28
MAM,SH,div1_QG_123,-0.15267554215638643,0.43797719857342177,28
MAM,SH,div1_QG_gt3,0.2574885657286968,0.18589633149603826,28
AMJ,NH,div1_QG,0.41458320184399855,0.028268642908326088,28
AMJ,NH,div1_QG_123,0.44644933974885215,0.017242273968430852,28
AMJ,NH,div1_QG_gt3,0.3864699532215927,0.04220680163292825,28
AMJ,SH,div1_QG,0.3127320898224979,0.10516471997091015,28
AMJ,SH,div1_QG_123,0.05105843012476912,0.7963868130600532,28
AMJ,SH,div1_QG_gt3,0.31676941726307234,0.10051249273756308,28
MJJ,NH,div1_QG,0.19100168636135958,0.3302506112941716,28
MJJ,NH,div1_QG_123,0.17913039626231328,0.3617364645464394,28
MJJ,NH,div1_QG_gt3,-0.04114595743872001,0.8353186283531413,28
MJJ,SH,div1_QG,0.2989754403677586,0.1222265607569827,28
MJJ,SH,div1_QG_123,-0.3013335342718865,0.1191661355100343,28
MJJ,SH,div1_QG_gt3,0.23785195329378273,0.22292116162834277,28
JJA,NH,div1_QG,0.32095140774180836,0.0958580580000475,28
JJA,NH,div1_QG_123,-0.2572102086428886,0.18638921056406815,28
JJA,NH,div1_QG_gt3,0.19869830901710395,0.31075976250886733,28
JJA,SH,div1_QG,0.3929116963235506,0.03860984857188218,28
JJA,SH,div1_QG_123,-0.37208379529529334,0.051203272726290855,28
JJA,SH,div1_QG_gt3,0.362266292008253,0.058164134379861857,28
JAS,NH,div1_QG,0.15884159786633245,0.41947356449551765,28
JAS,NH,div1_QG_123,0.06747474707880549,0.7329879657968569,28
JAS,NH,div1_QG_gt3,0.2979744931122097,0.12354295098543012,28
JAS,SH,div1_QG,0.4049495106913855,0.03254687528800467,28
JAS,SH,div1_QG_123,-0.0393018122690822,0.8426065995369101,28
JAS,SH,div1_QG_gt3,0.39338744032088696,0.038354238217461575,28
ASO,NH,div1_QG,0.30850060284014463,0.11021127736238093,28
ASO,NH,div1_QG_123,0.017993692092866304,0.9275881030285756,28
ASO,NH,div1_QG_gt3,0.409028851323284,0.030675712851628317,28
ASO,SH,div1_QG,0.32698326067372663,0.08943310575466532,28
ASO,SH,div1_QG_123,0.23574309338013977,0.2271728433834233,28
ASO,SH,div1_QG_gt3,0.08614276061627303,0.6629423966435357,28
SON,NH,div1_QG,-0.056721843194861385,0.7743494341296547,28
SON,NH,div1_QG_123,0.02690244183355861,0.8919095135903353,28
SON,NH,div1_QG_gt3,-0.083165614974264,0.6739468032775365,28
SON,SH,div1_QG,0.28355024407940993,0.14368500005455948,28
SON,SH,div1_QG_123,0.3346584268774861,0.08173590932168062,28
SON,SH,div1_QG_gt3,0.1564438474446545,0.4266169690131825,28
OND,NH,div1_QG,-0.002574345357278206,0.9896269337724243,28
OND,NH,div1_QG_123,0.48698402640716204,0.008585020322146458,28
OND,NH,div1_QG_gt3,0.12107428146001131,0.5394003338900951,28
OND,SH,div1_QG,0.48789287069547965,0.008443778133588665,28
OND,SH,div1_QG_123,0.1964730518893899,0.31632002117470137,28
OND,SH,div1_QG_gt3,0.39418777347442635,0.037927284722255324,28
NDJ,NH,div1_QG,-0.06272719521651306,0.7511673234735523,28
NDJ,NH,div1_QG_123,-0.16694389620165412,0.3958308379179801,28
NDJ,NH,div1_QG_gt3,0.22369084138475598,0.25251251833882316,28
NDJ,SH,div1_QG,0.6178976264618962,0.0004588437256540248,28
NDJ,SH,div1_QG_123,-0.13403726591055837,0.4965042014999567,28
NDJ,SH,div1_QG_gt3,0.4469060226610768,0.017114904082573986,28
