season,hemisphere,wavenumber_variant,r,p,n
DJF,NH,div1_QG,-0.03749001378220948,0.8497791169867953,28
DJF,NH,div1_QG_123,0.23085148248840529,0.2372431801998815,28
DJF,NH,div1_QG_gt3,0.2500262244402939,0.19942524210369625,28
JFM,NH,div1_QG,-0.14096487245926057,0.47430448755365195,28
JFM,NH,div1_QG_123,0.021640646464650616,0.9129619747065775,28
JFM,NH,div1_QG_gt3,0.14056934067269639,0.47555799760653156,28
FMA,NH,div1_QG,-0.07977952695072543,0.6865429435351011,28
FMA,NH,div1_QG_123,-0.15033876729373483,0.44510319266614146,28
FMA,NH,div1_QG_gt3,0.0628287999643293,0.7507768547817593,28
MAM,NH,div1_QG,0.36951518562337404,0.052957614870751825,28
MAM,NH,div1_QG_123,0.3571606970620564,0.0620652498307823,28
MAM,NH,div1_QG_gt3,0.22564186030979366,0.24828981427844535,28
AMJ,NH,div1_QG,0.41458320184399855,0.028268642908326088,28
AMJ,NH,div1_QG_123,0.44644933974885215,0.017242273968430852,28
AMJ,NH,div1_QG_gt3,0.3864699532215927,0.04220680163292825,28
MJJ,NH,div1_QG,0.19100168636135958,0.3302506112941716,28
MJJ,NH,div1_QG_123,0.17913039626231328,0.3617364645464394,28
MJJ,NH,div1_QG_gt3,-0.04114595743872001,0.8353186283531413,28
JJA,NH,div1_QG,0.32095140774180836,0.0958580580000475,28
JJA,NH,div1_QG_123,-0.2572102086428886,0.18638921056406815,28
JJA,NH,div1_QG_gt3,0.19869830901710395,0.31075976250886733,28
JAS,NH,div1_QG,0.15884159786633245,0.41947356449551765,28
JAS,NH,div1_QG_123,0.06747474707880549,0.7329879657968569,28
JAS,NH,div1_QG_gt3,0.2979744931122097,0.12354295098543012,28
ASO,NH,div1_QG,0.30850060284014463,0.11021127736238093,28
ASO,NH,div1_QG_123,0.017993692092866304,0.9275881030285756,28
ASO,NH,div1_QG_gt3,0.409028851323284,0.030675712851628317,28
SON,NH,div1_QG,-0.056721843194861385,0.7743494341296547,28
SON,NH,div1_QG_123,0.02690244183355861,0.8919095135903353,28
SON,NH,div1_QG_gt3,-0.083165614974264,0.6739468032775365,28
OND,NH,div1_QG,-0.002574345357278206,0.9896269337724243,28
OND,NH,div1_QG_123,0.48698402640716204,0.008585020322146458,28
OND,NH,div1_QG_gt3,0.12107428146001131,0.5394003338900951,28
NDJ,NH,div1_QG,-0.06272719521651306,0.7511673234735523,28
NDJ,NH,div1_QG_123,-0.16694389620165412,0.3958308379179801,28
NDJ,NH,div1_QG_gt3,0.22369084138475598,0.25251251833882316,28
