season,hemisphere,wavenumber_variant,r,p,n
DJF,SH,div1_QG,0.5530174068427283,0.00227193563281602,28
DJF,SH,div1_QG_123,-0.23511586273715693,0.22844782900628022,28
DJF,SH,div1_QG_gt3,0.5617388035201164,0.0018669977271275455,28
JFM,SH,div1_QG,0.46747774338063675,0.012130693733729105,28
JFM,SH,div1_QG_123,-0.29591629666134084,0.12628244237051867,28
JFM,SH,div1_QG_gt3,0.48183415913409655,0.009423399744353697,28
FMA,SH,div1_QG,0.48960349226880984,0.008183229394488312,28
FMA,SH,div1_QG_123,-0.33819460656368794,0.07836453840237861,28
FMA,SH,div1_QG_gt3,0.4275499035313788,0.02324139881299673,28
MAM,SH,div1_QG,0.4866339994007685,0.00863994459070871,28
MAM,SH,div1_QG_123,-0.15267554215638643,0.43797719857342177,28
MAM,SH,div1_QG_gt3,0.2574885657286968,0.18589633149603826,28
AMJ,SH,div1_QG,0.3127320898224979,0.10516471997091015,28
AMJ,SH,div1_QG_123,0.05105843012476912,0.7963868130600532,28
AMJ,SH,div1_QG_gt3,0.31676941726307234,0.10051249273756308,28
MJJ,SH,div1_QG,0.2989754403677586,0.1222265607569827,28
MJJ,SH,div1_QG_123,-0.3013335342718865,0.1191661355100343,28
MJJ,SH,div1_QG_gt3,0.23785195329378273,0.22292116162834277,28
JJA,SH,div1_QG,0.3929116963235506,0.03860984857188218,28
JJA,SH,div1_QG_123,-0.37208379529529334,0.051203272726290855,28
JJA,SH,div1_QG_gt3,0.362266292008253,0.058164134379861857,28
JAS,SH,div1_QG,0.4049495106913855,0.03254687528800467,28
JAS,SH,div1_QG_123,-0.0393018122690822,0.8426065995369101,28
JAS,SH,div1_QG_gt3,0.39338744032088696,0.038354238217461575,28
ASO,SH,div1_QG,0.32698326067372663,0.08943310575466532,28
ASO,SH,div1_QG_123,0.23574309338013977,0.2271728433834233,28
ASO,SH,div1_QG_gt3,0.08614276061627303,0.6629423966435357,28
SON,SH,div1_QG,0.28355024407940993,0.14368500005455948,28
SON,SH,div1_QG_123,0.3346584268774861,0.08173590932168062,28
SON,SH,div1_QG_gt3,0.1564438474446545,0.4266169690131825,28
OND,SH,div1_QG,0.48789287069547965,0.008443778133588665,28
OND,SH,div1_QG_123,0.1964730518893899,0.31632002117470137,28
OND,SH,div1_QG_gt3,0.39418777347442635,0.037927284722255324,28
NDJ,SH,div1_QG,0.6178976264618962,0.0004588437256540248,28
NDJ,SH,div1_QG_123,-0.13403726591055837,0.4965042014999567,28
NDJ,SH,div1_QG_gt3,0.4469060226610768,0.017114904082573986,28
