season,efp_variant,r,p,n
DJF,div1_QG,-0.10300480896560246,0.6019550666616702,28
DJF,div1_QG_123,0.23085148248840529,0.2372431801998815,28
DJF,div1_QG_gt3,-0.2026187462296288,0.3011124112236665,28
JFM,div1_QG,-0.22193648871624214,0.2563495398838567,28
JFM,div1_QG_123,0.021640646464650616,0.9129619747065775,28
JFM,div1_QG_gt3,-0.3310910630844469,0.08524804051559227,28
FMA,div1_QG,-0.12154352893847303,0.5378176590725083,28
FMA,div1_QG_123,-0.15033876729373483,0.44510319266614146,28
FMA,div1_QG_gt3,0.006926022731181765,0.9720969009700154,28
MAM,div1_QG,0.5152852649229245,0.005013557550675535,28
MAM,div1_QG_123,0.3571606970620564,0.0620652498307823,28
MAM,div1_QG_gt3,0.40547959206162093,0.032298658837154305,28
AMJ,div1_QG,0.45583711178719505,0.014775847773479863,28
AMJ,div1_QG_123,0.44644933974885215,0.017242273968430852,28
AMJ,div1_QG_gt3,0.3077647420052551,0.11110693753791372,28
MJJ,div1_QG,0.27472912249259945,0.15711376992452655,28
MJJ,div1_QG_123,0.17913039626231328,0.3617364645464394,28
MJJ,div1_QG_gt3,0.15643046852185236,0.42665701387053645,28
JJA,div1_QG,0.27953039424550585,0.14969790864701768,28
JJA,div1_QG_123,-0.2572102086428886,0.18638921056406815,28
JJA,div1_QG_gt3,-0.00042507872718160493,0.9982871437672162,28
JAS,div1_QG,0.16410279608441522,0.40403357967193415,28
JAS,div1_QG_123,0.06747474707880549,0.7329879657968569,28
JAS,div1_QG_gt3,-0.11090384529999214,0.574231697571035,28
ASO,div1_QG,0.1905643198189292,0.33138006614747295,28
ASO,div1_QG_123,0.017993692092866304,0.9275881030285756,28
ASO,div1_QG_gt3,-0.014289169419757719,0.9424686934931943,28
SON,div1_QG,-0.044727614915261976,0.8212025562283762,28
SON,div1_QG_123,0.02690244183355861,0.8919095135903353,28
SON,div1_QG_gt3,-0.31875858943088997,0.09827792109507617,28
OND,div1_QG,0.041730610953699156,0.8330108521201312,28
OND,div1_QG_123,0.48698402640716204,0.008585020322146458,28
OND,div1_QG_gt3,-0.2506183800073991,0.19832763584198024,28
NDJ,div1_QG,-0.02902572063005646,0.8834337274313983,28
NDJ,div1_QG_123,-0.16694389620165412,0.3958308379179801,28
NDJ,div1_QG_gt3,-0.042334183021967474,0.8306298194218928,28
