season,efp_variant,r,p,n
DJF,div1_QG,-0.03749001378220948,0.8497791169867953,28
DJF,div1_QG_123,0.022089483802590584,0.9111637307286262,28
DJF,div1_QG_gt3,0.07452757835610255,0.706242053849998,28
JFM,div1_QG,-0.14096487245926057,0.47430448755365195,28
JFM,div1_QG_123,-0.13686850220117353,0.4873689755744955,28
JFM,div1_QG_gt3,-0.11108274124100233,0.5736104709952737,28
FMA,div1_QG,-0.07977952695072543,0.6865429435351011,28
FMA,div1_QG_123,-0.3568022717451088,0.06234658205463122,28
FMA,div1_QG_gt3,0.04824501358700384,0.807392541906486,28
MAM,div1_QG,0.36951518562337404,0.052957614870751825,28
MAM,div1_QG_123,0.0706426027074034,0.7209348443128476,28
MAM,div1_QG_gt3,0.3408124624170809,0.07593806126448366,28
AMJ,div1_QG,0.41458320184399855,0.028268642908326088,28
AMJ,div1_QG_123,0.2160894514655863,0.26941170536584236,28
AMJ,div1_QG_gt3,0.4025709488261792,0.03367964714377149,28
MJJ,div1_QG,0.19100168636135958,0.3302506112941716,28
MJJ,div1_QG_123,0.09499324846121711,0.6306376169580868,28
MJJ,div1_QG_gt3,0.21444901708041006,0.27315219969464727,28
JJA,div1_QG,0.32095140774180836,0.0958580580000475,28
JJA,div1_QG_123,-0.05337188858433482,0.7873652223525704,28
JJA,div1_QG_gt3,0.24493962486541926,0.20902579491583484,28
JAS,div1_QG,0.15884159786633245,0.41947356449551765,28
JAS,div1_QG_123,0.43465365418224533,0.020813061668718463,28
JAS,div1_QG_gt3,0.2406332246414043,0.21739623291691607,28
ASO,div1_QG,0.30850060284014463,0.11021127736238093,28
ASO,div1_QG_123,0.03520423615314463,0.8588446646825765,28
ASO,div1_QG_gt3,0.42223028758627895,0.02520736658932946,28
SON,div1_QG,-0.056721843194861385,0.7743494341296547,28
SON,div1_QG_123,-0.04984872939745012,0.8011144703851228,28
SON,div1_QG_gt3,-0.22987289602375563,0.23929284867972775,28
OND,div1_QG,-0.002574345357278206,0.9896269337724243,28
OND,div1_QG_123,0.011104793423484707,0.9552752264328274,28
OND,div1_QG_gt3,-0.0031842050592589756,0.9871697455475333,28
NDJ,div1_QG,-0.06272719521651306,0.7511673234735523,28
NDJ,div1_QG_123,-0.30077794163181876,0.11988206437059323,28
NDJ,div1_QG_gt3,0.1470824782852282,0.4551360964656973,28
