season,efp_variant,r,p,n
DJF,div1_QG,0.015168227684318546,0.9389357353058564,28
DJF,div1_QG_123,-0.12697549412227072,0.5196581416745287,28
DJF,div1_QG_gt3,0.2500262244402939,0.19942524210369625,28
JFM,div1_QG,-0.019446197195554647,0.9217598019143024,28
JFM,div1_QG_123,-0.25554474167381724,0.1893571888583515,28
JFM,div1_QG_gt3,0.14056934067269639,0.47555799760653156,28
FMA,div1_QG,-0.033782113673927555,0.8644938228446537,28
FMA,div1_QG_123,-0.3981357147847959,0.03587648291686739,28
FMA,div1_QG_gt3,0.0628287999643293,0.7507768547817593,28
MAM,div1_QG,0.19556148618626337,0.3186153760342819,28
MAM,div1_QG_123,-0.12995355935661598,0.5098302728404064,28
MAM,div1_QG_gt3,0.22564186030979366,0.24828981427844535,28
AMJ,div1_QG,0.29829805080053884,0.12311629224999439,28
AMJ,div1_QG_123,0.0050085432312544885,0.9798200677006923,28
AMJ,div1_QG_gt3,0.3864699532215927,0.04220680163292825,28
MJJ,div1_QG,-0.14453571050621386,0.4630656036613192,28
MJJ,div1_QG_123,-0.10582959793081176,0.5919757207860115,28
MJJ,div1_QG_gt3,-0.04114595743872001,0.8353186283531413,28
JJA,div1_QG,-0.059134372513349805,0.7650124948790137,28
JJA,div1_QG_123,0.2499447394929386,0.1995766069114333,28
JJA,div1_QG_gt3,0.19869830901710395,0.31075976250886733,28
JAS,div1_QG,0.002059811482163918,0.9917001172174414,28
JAS,div1_QG_123,0.31830248302546515,0.09878696739302062,28
JAS,div1_QG_gt3,0.2979744931122097,0.12354295098543012,28
ASO,div1_QG,0.19674926901342182,0.3156265178128326,28
ASO,div1_QG_123,0.02379780502135388,0.9043234172282638,28
ASO,div1_QG_gt3,0.409028851323284,0.030675712851628317,28
SON,div1_QG,-0.058786646919759294,0.7663563109396724,28
SON,div1_QG_123,-0.1263103438904005,0.5218656844280765,28
SON,div1_QG_gt3,-0.083165614974264,0.6739468032775365,28
OND,div1_QG,-0.023524859812278563,0.9054158853147696,28
OND,div1_QG_123,-0.22979567476284482,0.23945508873041244,28
OND,div1_QG_gt3,0.12107428146001131,0.5394003338900951,28
NDJ,div1_QG,-0.06659927092544168,0.7363300906027175,28
NDJ,div1_QG_123,-0.3016738229889338,0.1187292036144098,28
NDJ,div1_QG_gt3,0.22369084138475598,0.25251251833882316,28
