season,efp_variant,r,p,n
DJF,div1_QG,0.5324381942518298,0.003537777785472605,28
DJF,div1_QG_123,-0.23511586273715693,0.22844782900628022,28
DJF,div1_QG_gt3,0.3128049185083782,0.10507940037786437,28
JFM,div1_QG,0.4299215294863904,0.022406223653169917,28
JFM,div1_QG_123,-0.29591629666134084,0.12628244237051867,28
JFM,div1_QG_gt3,0.2639075574959002,0.17478092287673144,28
FMA,div1_QG,0.4041799550335792,0.03290996059024012,28
FMA,div1_QG_123,-0.33819460656368794,0.07836453840237861,28
FMA,div1_QG_gt3,0.16130830311291977,0.4121943090003729,28
MAM,div1_QG,0.38270887937549153,0.04442712208442398,28
MAM,div1_QG_123,-0.15267554215638643,0.43797719857342177,28
MAM,div1_QG_gt3,0.1263574917755823,0.5217090577530361,28
AMJ,div1_QG,0.02007183854848019,0.9192505627659501,28
AMJ,div1_QG_123,0.05105843012476912,0.7963868130600532,28
AMJ,div1_QG_gt3,-0.24751770513424337,0.2041212600082589,28
MJJ,div1_QG,0.23628847004837616,0.2260681308276109,28
MJJ,div1_QG_123,-0.3013335342718865,0.1191661355100343,28
MJJ,div1_QG_gt3,-0.0023155059050512863,0.9906698541299022,28
JJA,div1_QG,0.3271269811238269,0.08928410382328276,28
JJA,div1_QG_123,-0.37208379529529334,0.051203272726290855,28
JJA,div1_QG_gt3,-0.013199666854327559,0.9468489041723409,28
JAS,div1_QG,0.17905289708337963,0.36194764601513024,28
JAS,div1_QG_123,-0.0393018122690822,0.8426065995369101,28
JAS,div1_QG_gt3,0.05435154040372632,0.7835529656146198,28
ASO,div1_QG,0.27265488950633104,0.16039724660863358,28
ASO,div1_QG_123,0.23574309338013977,0.2271728433834233,28
ASO,div1_QG_gt3,0.19638203142978566,0.3165487538559729,28
SON,div1_QG,0.25007012704899,0.19934372221455574,28
SON,div1_QG_123,0.3346584268774861,0.08173590932168062,28
SON,div1_QG_gt3,0.2135929369322141,0.2751174236743697,28
OND,div1_QG,0.4906437552421089,0.008028117549104801,28
OND,div1_QG_123,0.1964730518893899,0.31632002117470137,28
OND,div1_QG_gt3,0.3676808164981737,0.05423913369826783,28
NDJ,div1_QG,0.6082372890840375,0.0005951426264526819,28
NDJ,div1_QG_123,-0.13403726591055837,0.4965042014999567,28
NDJ,div1_QG_gt3,0.42137485693410204,0.025535781999476873,28
