season,efp_variant,r,p,n
DJF,div1_QG,0.5530174068427283,0.00227193563281602,28
DJF,div1_QG_123,0.3326194080121169,0.08372957021716555,28
DJF,div1_QG_gt3,0.7566039318758563,3.1864154145908067e-06,28
JFM,div1_QG,0.46747774338063675,0.012130693733729105,28
JFM,div1_QG_123,0.04866558710942913,0.8057449749319622,28
JFM,div1_QG_gt3,0.5359341828662383,0.0032877634915469303,28
FMA,div1_QG,0.48960349226880984,0.008183229394488312,28
FMA,div1_QG_123,-0.1981946177333271,0.3120129912681247,28
FMA,div1_QG_gt3,0.3297690975502699,0.08657827841276389,28
MAM,div1_QG,0.4866339994007685,0.00863994459070871,28
MAM,div1_QG_123,-0.32710314220094433,0.08930880576589395,28
MAM,div1_QG_gt3,0.26132835039871183,0.17918966056110525,28
AMJ,div1_QG,0.3127320898224979,0.10516471997091015,28
AMJ,div1_QG_123,-0.05277298976763598,0.7896981711552383,28
AMJ,div1_QG_gt3,0.12107501612767022,0.5393978542933761,28
MJJ,div1_QG,0.2989754403677586,0.1222265607569827,28
MJJ,div1_QG_123,0.014598702350266706,0.9412245476549328,28
MJJ,div1_QG_gt3,0.2321320992339397,0.23457858278867433,28
JJA,div1_QG,0.3929116963235506,0.03860984857188218,28
JJA,div1_QG_123,-0.026448774678542696,0.8937220190327194,28
JJA,div1_QG_gt3,0.32926127767281016,0.08709344624060997,28
JAS,div1_QG,0.4049495106913855,0.03254687528800467,28
JAS,div1_QG_123,0.07541331576274277,0.7029063911136878,28
JAS,div1_QG_gt3,0.432026724670029,0.021685582161843603,28
ASO,div1_QG,0.32698326067372663,0.08943310575466532,28
ASO,div1_QG_123,0.28067499537905916,0.1479677302633114,28
ASO,div1_QG_gt3,0.29491624027079805,0.1276294819830491,28
SON,div1_QG,0.28355024407940993,0.14368500005455948,28
SON,div1_QG_123,0.1424549473691809,0.46959755643918316,28
SON,div1_QG_gt3,0.2880411263417572,0.1371758264726533,28
OND,div1_QG,0.48789287069547965,0.008443778133588665,28
OND,div1_QG_123,0.06365965738063217,0.7475861177057268,28
OND,div1_QG_gt3,0.5831822043486986,0.0011255203686340476,28
NDJ,div1_QG,0.6178976264618962,0.0004588437256540248,28
NDJ,div1_QG_123,0.31783823928568733,0.09930712624909611,28
NDJ,div1_QG_gt3,0.6361147140963659,0.00027435935121163747,28
