season,efp_variant,r,p,n
DJF,div1_QG,0.2533477221796409,0.193322334895695,28
DJF,div1_QG_123,0.43972169882179885,0.019211014947334824,28
DJF,div1_QG_gt3,0.5617388035201164,0.0018669977271275455,28
JFM,div1_QG,0.23138602219340204,0.236128520135085,28
JFM,div1_QG_123,0.34609883577348927,0.07121432934096178,28
JFM,div1_QG_gt3,0.48183415913409655,0.009423399744353697,28
FMA,div1_QG,0.43470303256035087,0.02079694071734384,28
FMA,div1_QG_123,0.035982692637072565,0.8557552280738271,28
FMA,div1_QG_gt3,0.4275499035313788,0.02324139881299673,28
MAM,div1_QG,0.31226772493784166,0.10570994511789539,28
MAM,div1_QG_123,-0.3280886224879522,0.08829195854584942,28
MAM,div1_QG_gt3,0.2574885657286968,0.18589633149603826,28
AMJ,div1_QG,0.2978761873629783,0.12367279648267124,28
AMJ,div1_QG_123,-0.09359938861922315,0.6356833367852714,28
AMJ,div1_QG_gt3,0.31676941726307234,0.10051249273756308,28
MJJ,div1_QG,0.09028428109960937,0.6477476787580275,28
MJJ,div1_QG_123,0.28752722645048684,0.1379096420675416,28
MJJ,div1_QG_gt3,0.23785195329378273,0.22292116162834277,28
JJA,div1_QG,0.19360192584941907,0.3235842554259275,28
JJA,div1_QG_123,0.23145275797675677,0.23598960308405081,28
JJA,div1_QG_gt3,0.362266292008253,0.058164134379861857,28
JAS,div1_QG,0.25724360961645604,0.1863300204827462,28
JAS,div1_QG_123,0.1115763145991969,0.5718980650318006,28
JAS,div1_QG_gt3,0.39338744032088696,0.038354238217461575,28
ASO,div1_QG,0.03981051103131794,0.8405949533131338,28
ASO,div1_QG_123,0.0325601506205443,0.8693531010411607,28
ASO,div1_QG_gt3,0.08614276061627303,0.6629423966435357,28
SON,div1_QG,0.1262872158441169,0.5219425248025186,28
SON,div1_QG_123,-0.0823006674266972,0.6771563739456208,28
SON,div1_QG_gt3,0.1564438474446545,0.4266169690131825,28
OND,div1_QG,0.21565805420064346,0.27039214970871756,28
OND,div1_QG_123,-0.054146780323248364,0.7843493763787271,28
OND,div1_QG_gt3,0.39418777347442635,0.037927284722255324,28
NDJ,div1_QG,0.3125152331637397,0.10541907617328686,28
NDJ,div1_QG_123,0.43347489692181307,0.021200951154656263,28
NDJ,div1_QG_gt3,0.4469060226610768,0.017114904082573986,28
