model,var,perc_nan
ACCESS-CM2,ucomp_orig,0.923
ACCESS-CM2,ucomp_anom,0.923
ACCESS-CM2,div1_QG_orig,1.1529
ACCESS-CM2,div1_QG_anom,1.1529
ACCESS-CM2,div1_QG_123_orig,22.3441
ACCESS-CM2,div1_QG_123_anom,22.3441
ACCESS-CM2,div1_QG_gt3_orig,22.3441
ACCESS-CM2,div1_QG_gt3_anom,22.3441
ACCESS-ESM1-5,ucomp_orig,0.8224
ACCESS-ESM1-5,ucomp_anom,0.8224
ACCESS-ESM1-5,div1_QG_orig,1.0539
ACCESS-ESM1-5,div1_QG_anom,1.0539
ACCESS-ESM1-5,div1_QG_123_orig,22.0595
ACCESS-ESM1-5,div1_QG_123_anom,22.0595
ACCESS-ESM1-5,div1_QG_gt3_orig,22.0595
ACCESS-ESM1-5,div1_QG_gt3_anom,22.0595
AWI-ESM-1-1-LR,ucomp_orig,0.0
AWI-ESM-1-1-LR,ucomp_anom,0.0
AWI-ESM-1-1-LR,div1_QG_orig,2.7776
AWI-ESM-1-1-LR,div1_QG_anom,2.7776
AWI-ESM-1-1-LR,div1_QG_123_orig,2.7776
AWI-ESM-1-1-LR,div1_QG_123_anom,2.7776
AWI-ESM-1-1-LR,div1_QG_gt3_orig,2.7776
AWI-ESM-1-1-LR,div1_QG_gt3_anom,2.7776
BCC-CSM2-MR,ucomp_orig,0.0
BCC-CSM2-MR,ucomp_anom,0.0
BCC-CSM2-MR,div1_QG_orig,0.0
BCC-CSM2-MR,div1_QG_anom,0.0
BCC-CSM2-MR,div1_QG_123_orig,0.0
BCC-CSM2-MR,div1_QG_123_anom,0.0
BCC-CSM2-MR,div1_QG_gt3_orig,0.0
BCC-CSM2-MR,div1_QG_gt3_anom,0.0
CMCC-CM2-HR4,ucomp_orig,0.0
CMCC-CM2-HR4,ucomp_anom,0.0
CMCC-CM2-HR4,div1_QG_orig,0.0
CMCC-CM2-HR4,div1_QG_anom,0.0
CMCC-CM2-HR4,div1_QG_123_orig,0.0
CMCC-CM2-HR4,div1_QG_123_anom,0.0
CMCC-CM2-HR4,div1_QG_gt3_orig,0.0
CMCC-CM2-HR4,div1_QG_gt3_anom,0.0
CMCC-CM2-SR5,ucomp_orig,0.0
CMCC-CM2-SR5,ucomp_anom,0.0
CMCC-CM2-SR5,div1_QG_orig,0.0
CMCC-CM2-SR5,div1_QG_anom,0.0
CMCC-CM2-SR5,div1_QG_123_orig,0.0
CMCC-CM2-SR5,div1_QG_123_anom,0.0
CMCC-CM2-SR5,div1_QG_gt3_orig,0.0
CMCC-CM2-SR5,div1_QG_gt3_anom,0.0
CNRM-CM6-1-HR,ucomp_orig,0.7403
CNRM-CM6-1-HR,ucomp_anom,0.7403
CNRM-CM6-1-HR,div1_QG_orig,0.8342
CNRM-CM6-1-HR,div1_QG_anom,0.8342
CNRM-CM6-1-HR,div1_QG_123_orig,38.1382
CNRM-CM6-1-HR,div1_QG_123_anom,38.1382
CNRM-CM6-1-HR,div1_QG_gt3_orig,38.1382
CNRM-CM6-1-HR,div1_QG_gt3_anom,38.1382
EC-Earth3,ucomp_orig,0.0
EC-Earth3,ucomp_anom,0.0
EC-Earth3,div1_QG_orig,0.0
EC-Earth3,div1_QG_anom,0.0
EC-Earth3,div1_QG_123_orig,0.0
EC-Earth3,div1_QG_123_anom,0.0
EC-Earth3,div1_QG_gt3_orig,0.0
EC-Earth3,div1_QG_gt3_anom,0.0
EC-Earth3-AerChem,ucomp_orig,0.0
EC-Earth3-AerChem,ucomp_anom,0.0
EC-Earth3-AerChem,div1_QG_orig,0.0
EC-Earth3-AerChem,div1_QG_anom,0.0
EC-Earth3-AerChem,div1_QG_123_orig,0.0
EC-Earth3-AerChem,div1_QG_123_anom,0.0
EC-Earth3-AerChem,div1_QG_gt3_orig,0.0
EC-Earth3-AerChem,div1_QG_gt3_anom,0.0
EC-Earth3-CC,ucomp_orig,0.0
EC-Earth3-CC,ucomp_anom,0.0
EC-Earth3-CC,div1_QG_orig,0.0
EC-Earth3-CC,div1_QG_anom,0.0
EC-Earth3-CC,div1_QG_123_orig,0.0
EC-Earth3-CC,div1_QG_123_anom,0.0
EC-Earth3-CC,div1_QG_gt3_orig,0.0
EC-Earth3-CC,div1_QG_gt3_anom,0.0
FGOALS-f3-L,ucomp_orig,0.7407
FGOALS-f3-L,ucomp_anom,0.7407
FGOALS-f3-L,div1_QG_orig,0.9259
FGOALS-f3-L,div1_QG_anom,0.9259
FGOALS-f3-L,div1_QG_123_orig,26.8519
FGOALS-f3-L,div1_QG_123_anom,26.8519
FGOALS-f3-L,div1_QG_gt3_orig,26.8519
