model,var,perc_nan
AWI-ESM-1-1-LR,ucomp_orig,0.0
AWI-ESM-1-1-LR,ucomp_anom,0.0
AWI-ESM-1-1-LR,div1_QG_orig,2.7776
AWI-ESM-1-1-LR,div1_QG_anom,2.7776
AWI-ESM-1-1-LR,div1_QG_123_orig,2.7776
AWI-ESM-1-1-LR,div1_QG_123_anom,2.7776
AWI-ESM-1-1-LR,div1_QG_gt3_orig,2.7776
AWI-ESM-1-1-LR,div1_QG_gt3_anom,2.7776
CNRM-CM6-1-HR,ucomp_orig,0.7403
CNRM-CM6-1-HR,ucomp_anom,0.7403
CNRM-CM6-1-HR,div1_QG_orig,0.8342
CNRM-CM6-1-HR,div1_QG_anom,0.8342
CNRM-CM6-1-HR,div1_QG_123_orig,38.1382
CNRM-CM6-1-HR,div1_QG_123_anom,38.1382
CNRM-CM6-1-HR,div1_QG_gt3_orig,38.1382
CNRM-CM6-1-HR,div1_QG_gt3_anom,38.1382
FGOALS-f3-L,ucomp_orig,0.7407
FGOALS-f3-L,ucomp_anom,0.7407
FGOALS-f3-L,div1_QG_orig,0.9259
FGOALS-f3-L,div1_QG_anom,0.9259
FGOALS-f3-L,div1_QG_123_orig,26.8519
FGOALS-f3-L,div1_QG_123_anom,26.8519
FGOALS-f3-L,div1_QG_gt3_orig,26.8519
FGOALS-f3-L,div1_QG_gt3_anom,26.8519
GISS-E2-1-G,ucomp_orig,0.9271
GISS-E2-1-G,ucomp_anom,0.9271
GISS-E2-1-G,div1_QG_orig,1.4827
GISS-E2-1-G,div1_QG_anom,1.4827
GISS-E2-1-G,div1_QG_123_orig,37.99
GISS-E2-1-G,div1_QG_123_anom,37.99
GISS-E2-1-G,div1_QG_gt3_orig,37.99
GISS-E2-1-G,div1_QG_gt3_anom,37.99
HadGEM3-GC31-MM,ucomp_orig,0.9565
HadGEM3-GC31-MM,ucomp_anom,0.9565
HadGEM3-GC31-MM,div1_QG_orig,1.1018
HadGEM3-GC31-MM,div1_QG_anom,1.1018
HadGEM3-GC31-MM,div1_QG_123_orig,36.046
HadGEM3-GC31-MM,div1_QG_123_anom,36.046
HadGEM3-GC31-MM,div1_QG_gt3_orig,36.046
HadGEM3-GC31-MM,div1_QG_gt3_anom,36.046
MIROC6,ucomp_orig,0.9928
MIROC6,ucomp_anom,0.9928
MIROC6,div1_QG_orig,1.3459
MIROC6,div1_QG_anom,1.3459
MIROC6,div1_QG_123_orig,34.6835
MIROC6,div1_QG_123_anom,34.6835
MIROC6,div1_QG_gt3_orig,34.6835
MIROC6,div1_QG_gt3_anom,34.6835
MRI-ESM2-0,ucomp_orig,0.845
MRI-ESM2-0,ucomp_anom,0.845
MRI-ESM2-0,div1_QG_orig,1.125
MRI-ESM2-0,div1_QG_anom,1.125
MRI-ESM2-0,div1_QG_123_orig,36.9526
MRI-ESM2-0,div1_QG_123_anom,36.9526
MRI-ESM2-0,div1_QG_gt3_orig,36.9526
MRI-ESM2-0,div1_QG_gt3_anom,36.9526
SAM0-UNICON,ucomp_orig,0.8681
SAM0-UNICON,ucomp_anom,0.8681
SAM0-UNICON,div1_QG_orig,1.0417
SAM0-UNICON,div1_QG_anom,1.0417
SAM0-UNICON,div1_QG_123_orig,25.9905
SAM0-UNICON,div1_QG_123_anom,25.9905
SAM0-UNICON,div1_QG_gt3_orig,25.9905
SAM0-UNICON,div1_QG_gt3_anom,25.9905
