model,efp_nh,efp_nh_gt3,efp_nh_123,efp_sh,efp_sh_gt3,efp_sh_123
ACCESS-CM2,0.2318,0.1057,0.1183,0.1382,0.1793,0.067
ACCESS-ESM1-5,0.1786,0.0669,0.1316,0.2109,0.1628,0.0443
AWI-ESM-1-1-LR,0.1338,0.1219,0.0258,0.299,0.212,0.0458
CMCC-CM2-SR5,0.3224,0.124,0.1978,0.1949,0.1796,0.0559
CMCC-ESM2,0.2097,0.0914,0.1378,0.1457,0.1268,0.0661
EC-Earth3-CC,0.2345,0.091,0.141,0.169,0.1501,0.0533
EC-Earth3-LR,0.2385,0.1112,0.1147,0.112,0.0887,0.0409
EC-Earth3-Veg,0.1367,0.063,0.1205,0.1616,0.1365,0.0635
EC-Earth3-Veg-LR,0.2674,0.0982,0.1499,0.1523,0.1006,0.0332
GFDL-CM4,0.2403,0.1701,0.1016,0.1665,0.1547,0.0507
IPSL-CM5A2-INCA,0.2729,0.1238,0.13,0.3731,0.286,0.051
IPSL-CM6A-LR,0.2195,0.1238,0.081,0.2679,0.2387,0.0303
KIOST-ESM,0.1552,0.1143,0.0792,0.2933,0.2034,0.1404
MIROC6,0.108,0.0712,0.0577,0.2688,0.2119,0.05
MPI-ESM-1-2-HAM,0.2045,0.0928,0.1105,0.2227,0.1891,0.0412
MPI-ESM1-2-HR,0.1375,0.081,0.0832,0.2364,0.1571,0.0441
MPI-ESM1-2-LR,0.2108,0.0928,0.1557,0.247,0.1963,0.02
MRI-ESM2-0,0.2595,0.1006,0.1043,0.2102,0.1587,0.0523
NorESM2-LM,0.2362,0.2336,0.1245,0.4167,0.3226,0.1849
