model,efp_nh,efp_nh_gt3,efp_nh_123,efp_sh,efp_sh_gt3,efp_sh_123
ACCESS-CM2,0.30242143738512495,0.15690029461397553,0.1184807488739184,0.29203550816512813,0.2837275525456937,0.06650851718191456
ACCESS-ESM1-5,0.29924588390313483,0.15764838300079304,0.16878204779686365,0.3523530433143157,0.265720442085282,0.04342563596103801
AWI-ESM-1-1-LR,0.1991868896640418,0.1580408185264067,0.04508871733818344,0.4273369921329601,0.3272606547296755,0.0447858387829706
CMCC-CM2-SR5,0.3564447721723402,0.1337957109076129,0.19327374437590464,0.3324282739545317,0.27856095932894204,0.056189470468118244
CMCC-ESM2,0.35222840442553516,0.1990254726660086,0.17586386924156636,0.294151460280306,0.2362003887900168,0.06571254766588909
EC-Earth3,0.2672494580198547,0.10803210719937272,0.11065576139590261,0.25686240536589044,0.16569673784890188,0.016306294815520764
EC-Earth3-CC,0.26258614451484497,0.1546587667680744,0.10865614183305186,0.2996193201949577,0.23591683154179663,0.0512443666273527
EC-Earth3-LR,0.2752868612733315,0.1344829014099723,0.0961830145914483,0.23447277628261726,0.1516155297736164,0.041785099690815425
EC-Earth3-Veg,0.24088066625825333,0.08343376568147644,0.13627050159162843,0.2822399940947482,0.23080574492770672,0.06293728365714621
EC-Earth3-Veg-LR,0.29918264853376075,0.1696166791716095,0.15500205658249924,0.26374219766298185,0.1836480683343555,0.03379424773847599
GFDL-CM4,0.2929135190543018,0.2929135190543018,,0.28445902413814933,0.28445902413814933,
IPSL-CM5A2-INCA,0.36578017473220825,0.36578016391638896,,0.46511268615722656,0.46511259791494847,
IPSL-CM6A-LR,0.2962917685508728,0.29646271597730073,,0.385819673538208,0.385819731893822,
MIROC6,0.18604244269300788,0.12011336729689713,0.06573836224770513,0.35830453162918613,0.2885169394772993,0.050402249772100935
MPI-ESM-1-2-HAM,0.31172085152822493,0.1813323649699819,0.12563914241630392,0.3783207921669654,0.2879708472604602,0.0416774904032564
MPI-ESM1-2-HR,0.3505397697448397,0.187649119819975,0.13518103478971435,0.33529939803361913,0.23097776390653169,0.04446746939749327
MPI-ESM1-2-LR,0.4658413730258233,0.2508472904834787,0.2969590920950659,0.4395309922072399,0.3342390791578871,0.09333516308773032
MRI-ESM2-0,0.29879218376095834,0.14776601161341782,0.1071835323158847,0.34520367556217024,0.26973654055447915,0.05256130655654529
NorESM2-LM,0.3042083608422775,0.18903815965519344,0.14046651993735598,0.40916408928215936,0.3391159998806474,0.07976973226081824
