model,efp_nh,efp_nh_gt3,efp_nh_123,efp_sh,efp_sh_gt3,efp_sh_123
ACCESS-CM2,0.2726588927589785,0.14439272661864366,0.143195515683983,0.417257528935546,0.34246504387504506,0.038020021497564754
ACCESS-ESM1-5,0.3564641753871189,0.18171712738272539,0.09583573712601419,0.2713700219836319,0.2309074209201149,0.02751102359629589
AWI-ESM-1-1-LR,0.3532355352839067,0.2527102538621691,0.09027472938170072,0.38078144503601263,0.3258781110459617,0.05074832193532924
BCC-CSM2-MR,0.2560374948182981,0.18485752114838586,0.06445466540738232,0.2349610761241422,0.24572810253394775,0.04402140423672671
CMCC-CM2-HR4,0.23472048192900796,0.163307885638296,0.10283166786227299,0.2674683097215058,0.2379446107843231,0.032778607882204755
CMCC-CM2-SR5,0.3356161849311382,0.21434886010985676,0.13800890087959322,0.2990930099144162,0.24878968455696518,0.023960518484750278
CNRM-CM6-1-HR,0.17078647347427592,0.09560687562816678,0.037982060395628896,0.2527510605078987,0.19769186769872657,0.014281343793830788
EC-Earth3,0.3053693021262126,0.13785069266797473,0.12156105350643219,0.2793377291502889,0.15379982582362697,0.020228227331743374
EC-Earth3-AerChem,0.21933483774645018,0.13025954634528636,0.09286445747324532,0.30916945220146747,0.20145399937525038,0.023230824332028773
EC-Earth3-CC,0.2579980531859057,0.13152010435133887,0.12155090087339077,0.23744939713034194,0.17886108297044284,0.031236038420001316
FGOALS-f3-L,0.33361255824068553,0.19015254168010998,0.14010330419742498,0.3093271899403099,0.25271595679620595,0.04047309740000221
GFDL-CM4,0.3017733626132093,0.18986783137796287,0.075419525873307,0.3797991043860423,0.2941374483874284,0.033243019557829274
GFDL-ESM4,0.2362985727956165,0.1302956886442547,0.07662043415595556,0.3264386091575576,0.2227777707000286,0.030250275596276497
GISS-E2-1-G,0.2709709225582579,0.23931996036619796,0.044640210071643316,0.3948016071498396,0.28301939096902823,0.04431969743416332
HadGEM3-GC31-LL,0.3191132538653039,0.16943792731243376,0.16159053234557824,0.2566878808380947,0.1816779769165392,0.02773555719172845
HadGEM3-GC31-MM,0.31873060346152116,0.13490531788692967,0.16257890402358516,0.2879975226579251,0.2446081069935691,0.04371118114860201
KIOST-ESM,0.35442824782325866,0.24497386665905369,0.1101301210553551,0.3567372949868292,0.3188544054195607,0.03234396641804944
MIROC-ES2L,0.27215167918734345,0.15930624057730555,0.07831850514557073,0.3190704915719635,0.27910430942246295,0.012051881000582436
MIROC6,0.3007842466481872,0.1653936990615737,0.1303301578029949,0.312355447676093,0.24745809715196124,0.06651005214419202
MPI-ESM-1-2-HAM,0.2921848540497581,0.1617129745813116,0.140271080031769,0.30884104012176145,0.241238524676519,0.03367831361989404
MPI-ESM1-2-HR,0.22807159272761304,0.12562661325809032,0.07351270225639743,0.3811208073385181,0.3208024469498294,0.048938873367726544
MPI-ESM1-2-LR,0.2843133167255906,0.17422674101202318,0.10404729544211401,0.3375580058510916,0.2762920318818023,0.029435775760244323
MRI-ESM2-0,0.33342027222701576,0.189118958835518,0.0962972741607535,0.35451025423202587,0.261263636861396,0.020570019138620145
NESM3,0.3203628142616938,0.2525212093041403,0.07542127884117532,0.37491290954718504,0.3093348117442598,0.025572665584714882
NorESM2-LM,0.33969019526708216,0.23126015520419277,0.09735541502541561,0.3217931938422888,0.28587748072131447,0.04508452415395911
NorESM2-MM,0.2630101283125848,0.16076234348996785,0.09490791389591575,0.3341597944605714,0.2785894042214223,0.042201356643754906
SAM0-UNICON,0.3584132147759845,0.2282337989057947,0.1348801278011271,0.36052782235002634,0.3007274283473756,0.017298575299503485
TaiESM1,0.34039213315018724,0.22609582336634618,0.1661785126874172,0.2726417106083958,0.2255951763708603,0.04795730532632338
UKESM1-0-LL,0.30306110685143983,0.17231080796361,0.11194590613375185,0.2683696939824604,0.23073319612530263,0.02099716234555563
