model,efp_nh,efp_nh_gt3,efp_nh_123,efp_sh,efp_sh_gt3,efp_sh_123
ACCESS-CM2,0.2003,0.0912,0.1412,0.2776,0.2349,0.0383
ACCESS-ESM1-5,0.2529,0.1124,0.0841,0.1103,0.1256,0.0287
AWI-ESM-1-1-LR,0.2747,0.1922,0.093,0.2214,0.1932,0.0506
BCC-CSM2-MR,0.2032,0.1105,0.0869,0.0708,0.1342,0.046
CMCC-CM2-HR4,0.1871,0.1111,0.107,0.1286,0.1413,0.0328
CMCC-CM2-SR5,0.2658,0.1385,0.1424,0.1496,0.1412,0.0235
CNRM-CM6-1-HR,0.0936,0.0502,0.0403,0.1322,0.0951,0.0139
EC-Earth3,0.2324,0.0727,0.1244,0.1491,0.0797,0.0203
EC-Earth3-AerChem,0.1637,0.0827,0.0958,0.1772,0.1098,0.0222
EC-Earth3-CC,0.1939,0.0763,0.1223,0.114,0.1036,0.0312
EC-Earth3-Veg-LR,0.262,0.0773,0.1366,0.1749,0.1032,0.0574
FGOALS-f3-L,0.2457,0.1255,0.1415,0.1449,0.142,0.0413
GFDL-CM4,0.2238,0.1102,0.076,0.2073,0.1707,0.0332
GFDL-ESM4,0.1506,0.0638,0.073,0.1755,0.1189,0.019
GISS-E2-1-G,0.1892,0.1625,0.0444,0.277,0.1867,0.0433
HadGEM3-GC31-LL,0.2615,0.1219,0.161,0.1539,0.1146,0.0285
HadGEM3-GC31-MM,0.2178,0.0888,0.129,0.1677,0.1472,0.0438
KIOST-ESM,0.3023,0.1842,0.1065,0.241,0.2284,0.0339
MIROC-ES2L,0.2757,0.1443,0.0954,0.2463,0.2237,0.0122
MIROC6,0.2441,0.122,0.1148,0.1884,0.159,0.0662
MPI-ESM-1-2-HAM,0.2222,0.1007,0.1277,0.189,0.1336,0.0333
MPI-ESM1-2-HR,0.148,0.0762,0.0653,0.2528,0.2062,0.0482
MPI-ESM1-2-LR,0.1862,0.1031,0.0939,0.2131,0.1808,0.0296
MRI-ESM2-0,0.2913,0.1269,0.1142,0.215,0.1522,0.021
NESM3,0.2394,0.1671,0.0701,0.2356,0.1906,0.0259
NorESM2-LM,0.2587,0.1592,0.1002,0.2024,0.1916,0.0456
NorESM2-MM,0.1771,0.077,0.0967,0.19,0.1918,0.0429
SAM0-UNICON,0.2934,0.1533,0.1399,0.191,0.1758,0.0186
TaiESM1,0.2807,0.1616,0.1544,0.1158,0.1316,0.0497
UKESM1-0-LL,0.219,0.1105,0.1065,0.1292,0.1257,0.0217
