model,variant,hemisphere,season,efp
ACCESS-CM2,div1_QG,n,DJF,0.2594960585146099
ACCESS-CM2,div1_QG,n,JFM,0.3368385364678098
ACCESS-CM2,div1_QG,n,FMA,0.3251438496322899
ACCESS-CM2,div1_QG,n,MAM,0.327700735690019
ACCESS-CM2,div1_QG,n,AMJ,0.29263492446960304
ACCESS-CM2,div1_QG,n,MJJ,0.24622655325081924
ACCESS-CM2,div1_QG,n,JJA,0.15750071121467898
ACCESS-CM2,div1_QG,n,JAS,0.10596407177133443
ACCESS-CM2,div1_QG,n,ASO,0.14479467136536786
ACCESS-CM2,div1_QG,n,SON,0.15633442720545734
ACCESS-CM2,div1_QG,n,OND,0.16252512394486035
ACCESS-CM2,div1_QG,n,NDJ,0.21994328674654604
ACCESS-CM2,div1_QG_123,n,DJF,0.12930459929140456
ACCESS-CM2,div1_QG_123,n,JFM,0.15472509536360343
ACCESS-CM2,div1_QG_123,n,FMA,0.1386614450905297
ACCESS-CM2,div1_QG_123,n,MAM,0.12160043445582534
ACCESS-CM2,div1_QG_123,n,AMJ,0.10103105561480526
ACCESS-CM2,div1_QG_123,n,MJJ,0.0789619006954487
ACCESS-CM2,div1_QG_123,n,JJA,0.03592549469522773
ACCESS-CM2,div1_QG_123,n,JAS,0.04623145339068163
ACCESS-CM2,div1_QG_123,n,ASO,0.057487175023344134
ACCESS-CM2,div1_QG_123,n,SON,0.04417317721830671
ACCESS-CM2,div1_QG_123,n,OND,0.05389613880554488
ACCESS-CM2,div1_QG_123,n,NDJ,0.07265742756421811
ACCESS-CM2,div1_QG_gt3,n,DJF,0.14108649102243537
ACCESS-CM2,div1_QG_gt3,n,JFM,0.1748290026444011
ACCESS-CM2,div1_QG_gt3,n,FMA,0.18019873036848394
ACCESS-CM2,div1_QG_gt3,n,MAM,0.21487738209829943
ACCESS-CM2,div1_QG_gt3,n,AMJ,0.19087462266776156
ACCESS-CM2,div1_QG_gt3,n,MJJ,0.1222653412382448
ACCESS-CM2,div1_QG_gt3,n,JJA,0.12712302673749
ACCESS-CM2,div1_QG_gt3,n,JAS,0.1002841419977789
ACCESS-CM2,div1_QG_gt3,n,ASO,0.1072183046889308
ACCESS-CM2,div1_QG_gt3,n,SON,0.07909127497051291
ACCESS-CM2,div1_QG_gt3,n,OND,0.1133412587458251
ACCESS-CM2,div1_QG_gt3,n,NDJ,0.16050097130208563
ACCESS-CM2,div1_QG,s,DJF,0.31360387151236185
ACCESS-CM2,div1_QG,s,JFM,0.24183703815338928
ACCESS-CM2,div1_QG,s,FMA,0.17783818874133808
ACCESS-CM2,div1_QG,s,MAM,0.1959086355428934
ACCESS-CM2,div1_QG,s,AMJ,0.18994859105542564
ACCESS-CM2,div1_QG,s,MJJ,0.315412868894241
ACCESS-CM2,div1_QG,s,JJA,0.3744841140720523
ACCESS-CM2,div1_QG,s,JAS,0.39816539828198205
ACCESS-CM2,div1_QG,s,ASO,0.3894568428395576
ACCESS-CM2,div1_QG,s,SON,0.34244593086548003
ACCESS-CM2,div1_QG,s,OND,0.36343282957584916
ACCESS-CM2,div1_QG,s,NDJ,0.3044421302309193
ACCESS-CM2,div1_QG_123,s,DJF,0.09668947804985338
ACCESS-CM2,div1_QG_123,s,JFM,0.08183697102560208
ACCESS-CM2,div1_QG_123,s,FMA,0.05069268456851087
ACCESS-CM2,div1_QG_123,s,MAM,0.036682941750406255
ACCESS-CM2,div1_QG_123,s,AMJ,0.026757755023677648
ACCESS-CM2,div1_QG_123,s,MJJ,0.03468081970765029
ACCESS-CM2,div1_QG_123,s,JJA,0.031617420402907256
ACCESS-CM2,div1_QG_123,s,JAS,0.03684479188810432
ACCESS-CM2,div1_QG_123,s,ASO,0.035358333776995494
ACCESS-CM2,div1_QG_123,s,SON,0.04086335954919869
ACCESS-CM2,div1_QG_123,s,OND,0.0821723045202949
ACCESS-CM2,div1_QG_123,s,NDJ,0.08458535330053045
ACCESS-CM2,div1_QG_gt3,s,DJF,0.31110804037138984
ACCESS-CM2,div1_QG_gt3,s,JFM,0.2320395432029194
ACCESS-CM2,div1_QG_gt3,s,FMA,0.14751494724518516
ACCESS-CM2,div1_QG_gt3,s,MAM,0.1873225838001698
ACCESS-CM2,div1_QG_gt3,s,AMJ,0.1565247133691669
ACCESS-CM2,div1_QG_gt3,s,MJJ,0.1977932189162813
ACCESS-CM2,div1_QG_gt3,s,JJA,0.2776321938724911
ACCESS-CM2,div1_QG_gt3,s,JAS,0.302690117677148
ACCESS-CM2,div1_QG_gt3,s,ASO,0.2877297758396568
ACCESS-CM2,div1_QG_gt3,s,SON,0.26509155633844106
ACCESS-CM2,div1_QG_gt3,s,OND,0.3247756662772666
ACCESS-CM2,div1_QG_gt3,s,NDJ,0.299151030283654
ACCESS-ESM1-5,div1_QG,n,DJF,0.36661390077781736
ACCESS-ESM1-5,div1_QG,n,JFM,0.32233451444317723
ACCESS-ESM1-5,div1_QG,n,FMA,0.3809695670291032
ACCESS-ESM1-5,div1_QG,n,MAM,0.29617098774407014
ACCESS-ESM1-5,div1_QG,n,AMJ,0.27780456866371794
ACCESS-ESM1-5,div1_QG,n,MJJ,0.20087599056406638
ACCESS-ESM1-5,div1_QG,n,JJA,0.16581133564512188
ACCESS-ESM1-5,div1_QG,n,JAS,0.21641909963246642
ACCESS-ESM1-5,div1_QG,n,ASO,0.17462763061211087
ACCESS-ESM1-5,div1_QG,n,SON,0.2109512685653562
ACCESS-ESM1-5,div1_QG,n,OND,0.19985681044062772
ACCESS-ESM1-5,div1_QG,n,NDJ,0.3369982268644143
ACCESS-ESM1-5,div1_QG_123,n,DJF,0.13664270161563363
ACCESS-ESM1-5,div1_QG_123,n,JFM,0.1117826906154894
ACCESS-ESM1-5,div1_QG_123,n,FMA,0.12680760899930654
ACCESS-ESM1-5,div1_QG_123,n,MAM,0.07459311553746037
ACCESS-ESM1-5,div1_QG_123,n,AMJ,0.08203278487410058
ACCESS-ESM1-5,div1_QG_123,n,MJJ,0.08463397206070408
ACCESS-ESM1-5,div1_QG_123,n,JJA,0.06639705093033485
ACCESS-ESM1-5,div1_QG_123,n,JAS,0.049731014049104016
ACCESS-ESM1-5,div1_QG_123,n,ASO,0.054144506944289836
ACCESS-ESM1-5,div1_QG_123,n,SON,0.06305129654497837
ACCESS-ESM1-5,div1_QG_123,n,OND,0.0741434927354133
ACCESS-ESM1-5,div1_QG_123,n,NDJ,0.14577618872279788
ACCESS-ESM1-5,div1_QG_gt3,n,DJF,0.1694382593030695
ACCESS-ESM1-5,div1_QG_gt3,n,JFM,0.19287923521530465
ACCESS-ESM1-5,div1_QG_gt3,n,FMA,0.23856099508557055
ACCESS-ESM1-5,div1_QG_gt3,n,MAM,0.21331047641137482
ACCESS-ESM1-5,div1_QG_gt3,n,AMJ,0.152540946296245
ACCESS-ESM1-5,div1_QG_gt3,n,MJJ,0.10598295502995628
ACCESS-ESM1-5,div1_QG_gt3,n,JJA,0.08254011111664662
ACCESS-ESM1-5,div1_QG_gt3,n,JAS,0.14174988408781342
ACCESS-ESM1-5,div1_QG_gt3,n,ASO,0.13422023665765861
ACCESS-ESM1-5,div1_QG_gt3,n,SON,0.15558419596219525
ACCESS-ESM1-5,div1_QG_gt3,n,OND,0.17085482317488945
ACCESS-ESM1-5,div1_QG_gt3,n,NDJ,0.16196779818218277
ACCESS-ESM1-5,div1_QG,s,DJF,0.1964496582894641
ACCESS-ESM1-5,div1_QG,s,JFM,0.11884586578564159
ACCESS-ESM1-5,div1_QG,s,FMA,0.08813220393617012
ACCESS-ESM1-5,div1_QG,s,MAM,0.12340045609834958
ACCESS-ESM1-5,div1_QG,s,AMJ,0.2620971034428336
ACCESS-ESM1-5,div1_QG,s,MJJ,0.3850364278767666
ACCESS-ESM1-5,div1_QG,s,JJA,0.3270815282271348
ACCESS-ESM1-5,div1_QG,s,JAS,0.27188358575068416
ACCESS-ESM1-5,div1_QG,s,ASO,0.3498457288276893
ACCESS-ESM1-5,div1_QG,s,SON,0.31351776748803495
ACCESS-ESM1-5,div1_QG,s,OND,0.2571801331559377
ACCESS-ESM1-5,div1_QG,s,NDJ,0.23600092802699255
ACCESS-ESM1-5,div1_QG_123,s,DJF,0.12702901513649845
ACCESS-ESM1-5,div1_QG_123,s,JFM,0.059650722627854036
ACCESS-ESM1-5,div1_QG_123,s,FMA,0.045490964257273704
ACCESS-ESM1-5,div1_QG_123,s,MAM,0.037060101408164924
ACCESS-ESM1-5,div1_QG_123,s,AMJ,0.03496877557379277
ACCESS-ESM1-5,div1_QG_123,s,MJJ,0.04036999275070983
ACCESS-ESM1-5,div1_QG_123,s,JJA,0.05985651668174755
ACCESS-ESM1-5,div1_QG_123,s,JAS,0.032370512788401216
ACCESS-ESM1-5,div1_QG_123,s,ASO,0.040426078559565544
ACCESS-ESM1-5,div1_QG_123,s,SON,0.09372889870961897
ACCESS-ESM1-5,div1_QG_123,s,OND,0.12672907986450765
ACCESS-ESM1-5,div1_QG_123,s,NDJ,0.08598968483479391
ACCESS-ESM1-5,div1_QG_gt3,s,DJF,0.17260968471591387
ACCESS-ESM1-5,div1_QG_gt3,s,JFM,0.07231690524860547
ACCESS-ESM1-5,div1_QG_gt3,s,FMA,0.08555041637784548
ACCESS-ESM1-5,div1_QG_gt3,s,MAM,0.14500735659605288
ACCESS-ESM1-5,div1_QG_gt3,s,AMJ,0.25199614457384356
ACCESS-ESM1-5,div1_QG_gt3,s,MJJ,0.3376016505273429
ACCESS-ESM1-5,div1_QG_gt3,s,JJA,0.3047248816624217
