model,efp_nh,efp_nh_gt3,efp_nh_123,efp_sh,efp_sh_gt3,efp_sh_123
AWI-ESM-1-1-LR,0.2860060005878511,0.1951139428382964,0.06377389994343508,0.320436496089855,0.27531822003484313,0.027620942629229837
CMCC-CM2-HR4,0.23744168635984217,0.15711602997784413,0.07161639651860537,0.23515608058314294,0.21999842589516033,0.03601899951706425
CMCC-CM2-SR5,0.3630298948816013,0.1978900385173868,0.1645398640753559,0.30563192767292596,0.23312163605687697,0.011915480492164475
EC-Earth3,0.2549221171424467,0.11982045134952549,0.1042235613953733,0.287398225604801,0.1792145998957798,0.010344893139055053
EC-Earth3-AerChem,0.23429109215995972,0.12015993095522795,0.09412847409149314,0.2865010855950937,0.19397843319446115,0.013357733754041519
EC-Earth3-CC,0.2828859218650536,0.13981115508316397,0.11248899246726286,0.2799263536741419,0.1821039637229422,0.00823167307344051
EC-Earth3-Veg-LR,0.27908373823185373,0.15127141467616007,0.10947077871603107,0.29216622620649874,0.18592423685853662,0.009719762525659977
FGOALS-f3-L,0.321884670161976,0.20762996781847154,0.0871376276074885,0.3558833840849171,0.2547277057198555,0.026885617444739635
GFDL-ESM4,0.24584847674102944,0.11161668053193682,0.07209841165816168,0.30998992031474903,0.24274042659318423,0.01017928470657197
HadGEM3-GC31-LL,0.2833584714256699,0.12882924530223225,0.11782812068504281,0.29704425286417346,0.21106344672578417,0.021891575219457303
HadGEM3-GC31-MM,0.2765426980526763,0.11960818982365552,0.12018493162182778,0.3063199952101483,0.22427448118182672,0.018986925323143566
KIOST-ESM,0.29548019210636134,0.181442431160436,0.10288236443923136,0.3731941186621406,0.3050783433601204,0.04153438318823418
MIROC-ES2L,0.2349066362841466,0.15475215106109544,0.054840397012479544,0.3227333553424961,0.254592942325784,0.010575632104805
MIROC6,0.23443188274612214,0.11700391519599668,0.10019269553629576,0.31447768012476696,0.23236657945122072,0.02597826947095187
MPI-ESM-1-2-HAM,0.291649917886465,0.16348715548511086,0.09859194629837698,0.319186527059715,0.2515519542618136,0.013857153755876804
MPI-ESM1-2-HR,0.2788511325609288,0.1364939698937391,0.0903739233695698,0.3969777342599303,0.2973598758749983,0.022927809099877922
MPI-ESM1-2-LR,0.2741688959069421,0.16574379532155878,0.07962315436533972,0.36005056143869585,0.2833613960941583,0.029903062199735604
TaiESM1,0.31884211744466745,0.19738736750414243,0.13698611202925792,0.3148825717805296,0.2511601151926164,0.043360858014569764
UKESM1-0-LL,0.2991415200884618,0.16680214509069388,0.10844555310292754,0.3035255098556307,0.25000973385096825,0.013363156470567773
