case,season,efp_type,efp_mean,efp_std,efp_median,n_boot
1958_2016_6h_div1_QG_123,DJF,efp_500,0.1407424,0.030684057460511966,0.1388,1000
1979_2016_6h_div1_QG_123,DJF,efp_500,0.1862689,0.04537014660313542,0.1843,1000
1958_2016_6h_div1_QG_gt3,DJF,efp_500,0.1360941,0.030789060316774853,0.13415,1000
1979_2016_6h_div1_QG_gt3,DJF,efp_500,0.1631496,0.036277514245603985,0.1609,1000
1958_2016_6h_div1_QG,DJF,efp_500,0.29291300000000003,0.044813629745870845,0.2913,1000
1979_2016_6h_div1_QG,DJF,efp_500,0.37184120000000004,0.056273510131855116,0.36785,1000
1958_2016_daily_div1_QG_123,DJF,efp_500,0.1407505,0.03187275450521966,0.13874999999999998,1000
1979_2016_daily_div1_QG_123,DJF,efp_500,0.1846062,0.04650596952607267,0.18145,1000
1958_2016_daily_div1_QG_gt3,DJF,efp_500,0.0843356,0.021314642681499494,0.08315,1000
1979_2016_daily_div1_QG_gt3,DJF,efp_500,0.1041232,0.02875749470590232,0.10135,1000
1958_2016_daily_div1_QG,DJF,efp_500,0.2383447,0.0414241732797409,0.2351,1000
1979_2016_daily_div1_QG,DJF,efp_500,0.3242802,0.051708693930131326,0.32145,1000
1958_2016_6h_div1_QG_123,JAS,efp_500,0.0259638,0.011198006499373001,0.024,1000
1979_2016_6h_div1_QG_123,JAS,efp_500,0.042624300000000004,0.017403059487055717,0.0397,1000
1958_2016_6h_div1_QG_gt3,JAS,efp_500,0.200391,0.02923120351610587,0.199,1000
1979_2016_6h_div1_QG_gt3,JAS,efp_500,0.2417645,0.03870697417455929,0.23935,1000
1958_2016_6h_div1_QG,JAS,efp_500,0.23702949999999998,0.02612004210850358,0.23465,1000
1979_2016_6h_div1_QG,JAS,efp_500,0.27728700000000006,0.033308330354432356,0.2767,1000
1958_2016_daily_div1_QG_123,JAS,efp_500,0.0264371,0.01083098211567169,0.0251,1000
1979_2016_daily_div1_QG_123,JAS,efp_500,0.0429526,0.017820335385171627,0.04025,1000
1958_2016_daily_div1_QG_gt3,JAS,efp_500,0.09372139999999998,0.021150026525751688,0.09225,1000
1979_2016_daily_div1_QG_gt3,JAS,efp_500,0.1257156,0.032903322273594195,0.12304999999999999,1000
1958_2016_daily_div1_QG,JAS,efp_500,0.11882750000000002,0.023095228809215117,0.1175,1000
1979_2016_daily_div1_QG,JAS,efp_500,0.13079829999999998,0.03123724903236519,0.1276,1000
