case,season,efp_type,efp_mean,efp_std,efp_median,n_boot
1958_2016_6h_div1_QG_123,DJF,efp_full,0.1468681,0.02523417469207186,0.14545,1000
1979_2016_6h_div1_QG_123,DJF,efp_full,0.182918,0.037638046389258835,0.18245,1000
1958_2016_6h_div1_QG_gt3,DJF,efp_full,0.209308,0.03432442185966138,0.20795,1000
1979_2016_6h_div1_QG_gt3,DJF,efp_full,0.2327032,0.043755055133778545,0.23135,1000
1958_2016_6h_div1_QG,DJF,efp_full,0.35474649999999996,0.039793122870038736,0.35365,1000
1979_2016_6h_div1_QG,DJF,efp_full,0.4094005,0.0522425195578276,0.40645,1000
1958_2016_daily_div1_QG_123,DJF,efp_full,0.1529314,0.02575846218313508,0.15215,1000
1979_2016_daily_div1_QG_123,DJF,efp_full,0.1794886,0.0384155152254919,0.17695,1000
1958_2016_daily_div1_QG_gt3,DJF,efp_full,0.14292860000000002,0.027209235969427734,0.1411,1000
1979_2016_daily_div1_QG_gt3,DJF,efp_full,0.16069889999999998,0.03718005955872045,0.15725,1000
1958_2016_daily_div1_QG,DJF,efp_full,0.29513739999999994,0.03814280851274589,0.293,1000
1979_2016_daily_div1_QG,DJF,efp_full,0.3568045,0.05032759670151159,0.35660000000000003,1000
1958_2016_6h_div1_QG_123,JAS,efp_full,0.0343812,0.009521274418900024,0.03325,1000
1979_2016_6h_div1_QG_123,JAS,efp_full,0.056554099999999996,0.015100051098920162,0.055,1000
1958_2016_6h_div1_QG_gt3,JAS,efp_full,0.2556,0.029817368763859764,0.25425,1000
1979_2016_6h_div1_QG_gt3,JAS,efp_full,0.3071001,0.037856666916013616,0.30385,1000
1958_2016_6h_div1_QG,JAS,efp_full,0.2814622,0.029788455333568404,0.2794,1000
1979_2016_6h_div1_QG,JAS,efp_full,0.33680400000000005,0.03588738892703118,0.33465,1000
1958_2016_daily_div1_QG_123,JAS,efp_full,0.0341431,0.010035261451003656,0.0328,1000
1979_2016_daily_div1_QG_123,JAS,efp_full,0.0558823,0.014916527635813906,0.0538,1000
1958_2016_daily_div1_QG_gt3,JAS,efp_full,0.16129849999999998,0.024152556132840265,0.16044999999999998,1000
1979_2016_daily_div1_QG_gt3,JAS,efp_full,0.20102769999999998,0.03409821172305082,0.2,1000
1958_2016_daily_div1_QG,JAS,efp_full,0.1830907,0.024875926183963483,0.1819,1000
1979_2016_daily_div1_QG,JAS,efp_full,0.21942430000000002,0.03181865804068425,0.2169,1000
