season,hemisphere,div1_method,level_method,time_freq,period,efp
djf,NH,div1_QG,500hPa,6h,1979-2014,0.3989
jfm,NH,div1_QG,500hPa,6h,1979-2014,0.3253
fma,NH,div1_QG,500hPa,6h,1979-2014,0.1913
mam,NH,div1_QG,500hPa,6h,1979-2014,0.1515
amj,NH,div1_QG,500hPa,6h,1979-2014,0.1236
mjj,NH,div1_QG,500hPa,6h,1979-2014,0.1562
jja,NH,div1_QG,500hPa,6h,1979-2014,0.1349
jas,NH,div1_QG,500hPa,6h,1979-2014,0.129
aso,NH,div1_QG,500hPa,6h,1979-2014,0.1464
son,NH,div1_QG,500hPa,6h,1979-2014,0.1556
ond,NH,div1_QG,500hPa,6h,1979-2014,0.2493
ndj,NH,div1_QG,500hPa,6h,1979-2014,0.3195
djf,SH,div1_QG,500hPa,6h,1979-2014,0.1555
jfm,SH,div1_QG,500hPa,6h,1979-2014,0.1727
fma,SH,div1_QG,500hPa,6h,1979-2014,0.1511
mam,SH,div1_QG,500hPa,6h,1979-2014,0.1887
amj,SH,div1_QG,500hPa,6h,1979-2014,0.2149
mjj,SH,div1_QG,500hPa,6h,1979-2014,0.2526
jja,SH,div1_QG,500hPa,6h,1979-2014,0.2719
jas,SH,div1_QG,500hPa,6h,1979-2014,0.2633
aso,SH,div1_QG,500hPa,6h,1979-2014,0.2514
son,SH,div1_QG,500hPa,6h,1979-2014,0.2753
ond,SH,div1_QG,500hPa,6h,1979-2014,0.2835
ndj,SH,div1_QG,500hPa,6h,1979-2014,0.2365
