model,efp_nh,efp_sh,lat_res,pres_levels
AWI-CM-1-1-MR,0.3724,0.4354,0.94,95
CESM1-WACCM-SC,0.1297,0.0295,1.9,66
CESM2,0.3693,0.3419,1.25,32
CNRM-CM6-1,0.2421,0.2082,1.0,91
CanESM5,0.4256,0.4618,2.8,49
E3SMv1,0.0543,0.0542,1.0,72
EC-EARTH3,0.2945,0.3135,1.0,91
FGOALS-f3-L,0.2354,0.1274,1.0,32
HadGEM3-GC31-LL,0.2730000019073486,0.2951000034809112,1.25,85
HadGEM3-GC31-MM,0.3137,0.3002,0.55,85
IPSL-CM6A-LR,0.2718999981880188,0.1958999931812286,1.26,79
MIROC6,0.1592,0.2058,1.4,81
NorESM2-LM,0.3238,0.3754,1.9,32
OpenIFS-159,0.3279,0.3283,1.125,91
OpenIFS-511,0.2302,0.3045,0.352,91
